channel,lane,seed,frames,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,refinement_selected_frames,joint_cwz_accepted_steps,joint_cwz_rejected_steps,selection_reasons
red1,1,6,60,lite,2048,0,0.5,3,3,8,4,4,3610,38,0.6333333333333333,216600,743,0.003430286241920591,0,0.24949797026666667,1786.1979166666667,0,0,0,
red1,1,6,60,cz_refinement,2048,0,0.5,3,3,8,4,4,3610,38,0.6333333333333333,216600,743,0.003430286241920591,0,0.6017012312333332,1786.1979166666667,0,0,0,crc_fallback:22;lite_crc_valid_skip:38
red1,1,6,60,joint_cwz,2048,0,0.5,3,3,8,4,4,3610,38,0.6333333333333333,216600,743,0.003430286241920591,0,0.4544277112666667,1786.1979166666667,0,176,0,crc_fallback:22;lite_crc_valid_skip:38
red1,1,7,60,lite,2048,0,0.5,3,3,8,4,4,3610,40,0.6666666666666666,216600,34,0.00015697137580794092,0,0.2711409477000001,1880.2083333333335,0,0,0,
red1,1,7,60,cz_refinement,2048,0,0.5,3,3,8,4,4,3610,40,0.6666666666666666,216600,34,0.00015697137580794092,0,0.6292077572833334,1880.2083333333335,0,0,0,crc_fallback:20;lite_crc_valid_skip:40
red1,1,7,60,joint_cwz,2048,0,0.5,3,3,8,4,4,3610,40,0.6666666666666666,216600,34,0.00015697137580794092,0,0.45955267771666664,1880.2083333333335,0,160,0,crc_fallback:20;lite_crc_valid_skip:40
red1,1,6,60,lite,2048,0,0.5,3,4,8,4,4,4064,36,0.6,243840,2284,0.009366797900262467,0,0.29158905778333327,1905.0,0,0,0,
red1,1,6,60,cz_refinement,2048,0,0.5,3,4,8,4,4,4064,36,0.6,243840,2284,0.009366797900262467,0,0.7501561541833334,1905.0,0,0,0,crc_fallback:24;lite_crc_valid_skip:36
red1,1,6,60,joint_cwz,2048,0,0.5,3,4,8,4,4,4064,36,0.6,243840,2284,0.009366797900262467,0,0.49613568351666665,1905.0,0,192,0,crc_fallback:24;lite_crc_valid_skip:36
red1,1,7,60,lite,2048,0,0.5,3,4,8,4,4,4064,31,0.5166666666666667,243840,1743,0.007148129921259842,0,0.27227761989999993,1640.4166666666667,0,0,0,
red1,1,7,60,cz_refinement,2048,0,0.5,3,4,8,4,4,4064,31,0.5166666666666667,243840,1743,0.007148129921259842,0,0.8196945062333331,1640.4166666666667,0,0,0,crc_fallback:29;lite_crc_valid_skip:31
red1,1,7,60,joint_cwz,2048,0,0.5,3,4,8,4,4,4064,31,0.5166666666666667,243840,1743,0.007148129921259842,0,0.5376123897166667,1640.4166666666667,0,232,0,crc_fallback:29;lite_crc_valid_skip:31
red1,1,6,60,lite,512,16,0.5,3,4,10,0,10,2504,13,0.21666666666666667,150240,21323,0.1419262513312034,0,0.20074348529999997,555.494880546075,0,0,0,
red1,1,6,60,cz_refinement,512,16,0.5,3,4,10,0,10,2504,13,0.21666666666666667,150240,21323,0.1419262513312034,0,0.8862309030166666,555.494880546075,0,0,0,crc_fallback:47;lite_crc_valid_skip:13
red1,1,6,60,joint_cwz,512,16,0.5,3,4,10,0,10,2504,14,0.23333333333333334,150240,21322,0.141919595314164,0,0.5911874806166668,598.2252559726962,1,376,0,crc_fallback:46;crc_rescue:1;lite_crc_valid_skip:13
red1,1,7,60,lite,512,16,0.5,3,4,10,0,10,2504,13,0.21666666666666667,150240,21807,0.14514776357827475,0,0.20778166739999995,555.494880546075,0,0,0,
red1,1,7,60,cz_refinement,512,16,0.5,3,4,10,0,10,2504,14,0.23333333333333334,150240,21626,0.1439430244941427,0,0.8317130757500001,598.2252559726962,1,0,0,crc_fallback:46;crc_rescue:1;lite_crc_valid_skip:13
red1,1,7,60,joint_cwz,512,16,0.5,3,4,10,0,10,2504,14,0.23333333333333334,150240,21626,0.1439430244941427,0,0.58802148095,598.2252559726962,1,376,0,crc_fallback:46;crc_rescue:1;lite_crc_valid_skip:13
red1,1,6,60,lite,1024,16,0.5,5,10,10,0,5,3656,5,0.08333333333333333,219360,33617,0.15325036469730124,0,0.26515641241666665,314.6299483648881,0,0,0,
red1,1,6,60,cz_refinement,1024,16,0.5,5,10,10,0,5,3656,5,0.08333333333333333,219360,33617,0.15325036469730124,0,1.2197598295333334,314.6299483648881,0,0,0,crc_fallback:55;lite_crc_valid_skip:5
red1,1,6,60,joint_cwz,1024,16,0.5,5,10,10,0,5,3656,5,0.08333333333333333,219360,33617,0.15325036469730124,0,0.9840938152666667,314.6299483648881,0,440,0,crc_fallback:55;lite_crc_valid_skip:5
red1,1,7,60,lite,1024,16,0.5,5,10,10,0,5,3656,8,0.13333333333333333,219360,34392,0.15678336980306345,0,0.22701722013333334,503.407917383821,0,0,0,
red1,1,7,60,cz_refinement,1024,16,0.5,5,10,10,0,5,3656,8,0.13333333333333333,219360,34392,0.15678336980306345,0,1.0809580941499999,503.407917383821,0,0,0,crc_fallback:52;lite_crc_valid_skip:8
red1,1,7,60,joint_cwz,1024,16,0.5,5,10,10,0,5,3656,8,0.13333333333333333,219360,34392,0.15678336980306345,0,0.8579118905,503.407917383821,0,416,0,crc_fallback:52;lite_crc_valid_skip:8
red1,2,6,60,lite,2048,64,0.5,3,5,8,4,4,4336,35,0.5833333333333334,260160,2534,0.009740159901599016,0,0.2564483477666667,1935.7142857142856,0,0,0,
red1,2,6,60,cz_refinement,2048,64,0.5,3,5,8,4,4,4336,35,0.5833333333333334,260160,2534,0.009740159901599016,0,0.6267529068833333,1935.7142857142856,0,0,0,crc_fallback:25;lite_crc_valid_skip:35
red1,2,6,60,joint_cwz,2048,64,0.5,3,5,8,4,4,4336,35,0.5833333333333334,260160,2534,0.009740159901599016,0,0.47142415005,1935.7142857142856,0,200,0,crc_fallback:25;lite_crc_valid_skip:35
red1,2,7,60,lite,2048,64,0.5,3,5,8,4,4,4336,28,0.4666666666666667,260160,3112,0.011961869618696186,0,0.22866885138333332,1548.5714285714284,0,0,0,
red1,2,7,60,cz_refinement,2048,64,0.5,3,5,8,4,4,4336,28,0.4666666666666667,260160,3112,0.011961869618696186,0,0.6955202774333334,1548.5714285714284,0,0,0,crc_fallback:32;lite_crc_valid_skip:28
red1,2,7,60,joint_cwz,2048,64,0.5,3,5,8,4,4,4336,28,0.4666666666666667,260160,3112,0.011961869618696186,0,0.50868378475,1548.5714285714284,0,256,0,crc_fallback:32;lite_crc_valid_skip:28
red1,2,6,60,lite,2048,64,0.5,3,4,8,4,4,4064,37,0.6166666666666667,243840,2050,0.008407152230971129,0,0.22534637705,1917.9591836734692,0,0,0,
red1,2,6,60,cz_refinement,2048,64,0.5,3,4,8,4,4,4064,39,0.65,243840,2048,0.008398950131233596,0,0.6180094007999999,2021.6326530612243,2,0,0,crc_fallback:21;crc_rescue:2;lite_crc_valid_skip:37
red1,2,6,60,joint_cwz,2048,64,0.5,3,4,8,4,4,4064,39,0.65,243840,2048,0.008398950131233596,0,0.4395089320666667,2021.6326530612243,2,184,0,crc_fallback:21;crc_rescue:2;lite_crc_valid_skip:37
red1,2,7,60,lite,2048,64,0.5,3,4,8,4,4,4064,40,0.6666666666666666,243840,1109,0.004548064304461942,0,0.23663654979999998,2073.4693877551017,0,0,0,
red1,2,7,60,cz_refinement,2048,64,0.5,3,4,8,4,4,4064,41,0.6833333333333333,243840,1108,0.004543963254593176,0,0.5475985928166665,2125.3061224489793,1,0,0,crc_fallback:19;crc_rescue:1;lite_crc_valid_skip:40
red1,2,7,60,joint_cwz,2048,64,0.5,3,4,8,4,4,4064,41,0.6833333333333333,243840,1108,0.004543963254593176,0,0.44786586893333336,2125.3061224489793,1,160,0,crc_fallback:19;crc_rescue:1;lite_crc_valid_skip:40
red1,2,6,60,lite,2048,0,0.5,3,4,8,4,4,4064,37,0.6166666666666667,243840,2653,0.01088008530183727,0,0.2668344205666667,1957.9166666666667,0,0,0,
red1,2,6,60,cz_refinement,2048,0,0.5,3,4,8,4,4,4064,37,0.6166666666666667,243840,2653,0.01088008530183727,0,0.6583403118666664,1957.9166666666667,0,0,0,crc_fallback:23;lite_crc_valid_skip:37
red1,2,6,60,joint_cwz,2048,0,0.5,3,4,8,4,4,4064,37,0.6166666666666667,243840,2653,0.01088008530183727,0,0.4616827656,1957.9166666666667,0,184,0,crc_fallback:23;lite_crc_valid_skip:37
red1,2,7,60,lite,2048,0,0.5,3,4,8,4,4,4064,36,0.6,243840,1973,0.008091371391076116,0,0.2490610385833333,1905.0,0,0,0,
