channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,confirm,0,standard,2048,0,0.5,3,3,8,4,6,60,4,3610,0,0.0,216600,64214,0.2964635272391505,0,0.11875945404999998,0.0
red1,1,confirm,0,lite,2048,0,0.5,3,3,8,4,6,60,4,3610,38,0.6333333333333333,216600,743,0.003430286241920591,0,0.19480142836666664,1786.1979166666667
red1,1,confirm,0,adaptive_lite,2048,0,0.5,3,3,8,4,6,60,4,3610,38,0.6333333333333333,216600,743,0.003430286241920591,0,0.2932323149166666,1786.1979166666667
red1,1,confirm,0,standard,2048,0,0.5,3,3,8,4,7,60,4,3610,0,0.0,216600,64361,0.2971421975992613,0,0.14188796043333332,0.0
red1,1,confirm,0,lite,2048,0,0.5,3,3,8,4,7,60,4,3610,40,0.6666666666666666,216600,34,0.00015697137580794092,0,0.19425033291666663,1880.2083333333335
red1,1,confirm,0,adaptive_lite,2048,0,0.5,3,3,8,4,7,60,4,3610,40,0.6666666666666666,216600,34,0.00015697137580794092,0,0.2776060971,1880.2083333333335
red1,1,confirm,0,standard,2048,0,0.5,3,4,8,4,6,60,4,4064,1,0.016666666666666666,243840,69089,0.2833374343832021,0,0.13563385774999998,52.91666666666667
red1,1,confirm,0,lite,2048,0,0.5,3,4,8,4,6,60,4,4064,36,0.6,243840,2284,0.009366797900262467,0,0.20409273813333337,1905.0
red1,1,confirm,0,adaptive_lite,2048,0,0.5,3,4,8,4,6,60,4,4064,36,0.6,243840,2284,0.009366797900262467,0,0.2834800494,1905.0
red1,1,confirm,0,standard,2048,0,0.5,3,4,8,4,7,60,4,4064,1,0.016666666666666666,243840,69431,0.2847399934383202,0,0.12955162011666665,52.91666666666667
red1,1,confirm,0,lite,2048,0,0.5,3,4,8,4,7,60,4,4064,31,0.5166666666666667,243840,1743,0.007148129921259842,0,0.21279618986666665,1640.4166666666667
red1,1,confirm,0,adaptive_lite,2048,0,0.5,3,4,8,4,7,60,4,4064,31,0.5166666666666667,243840,1743,0.007148129921259842,0,0.28116652756666666,1640.4166666666667
red1,1,confirm,0,standard,512,16,0.5,3,4,10,0,6,60,10,2504,46,0.7666666666666667,150240,1001,0.006662673056443025,0,0.09486528218333333,1965.5972696245733
red1,1,confirm,0,lite,512,16,0.5,3,4,10,0,6,60,10,2504,13,0.21666666666666667,150240,21323,0.1419262513312034,0,0.163305858,555.494880546075
red1,1,confirm,0,adaptive_lite,512,16,0.5,3,4,10,0,6,60,10,2504,46,0.7666666666666667,150240,1001,0.006662673056443025,0,0.1384789018166667,1965.5972696245733
red1,1,confirm,0,standard,512,16,0.5,3,4,10,0,7,60,10,2504,44,0.7333333333333333,150240,337,0.0022430777422790204,0,0.08758903401666666,1880.136518771331
red1,1,confirm,0,lite,512,16,0.5,3,4,10,0,7,60,10,2504,13,0.21666666666666667,150240,21807,0.14514776357827475,0,0.14584604446666669,555.494880546075
red1,1,confirm,0,adaptive_lite,512,16,0.5,3,4,10,0,7,60,10,2504,44,0.7333333333333333,150240,337,0.0022430777422790204,0,0.11716500616666668,1880.136518771331
red1,1,confirm,0,standard,1024,16,0.5,5,10,10,0,6,60,5,3656,3,0.05,219360,34550,0.1575036469730124,0,0.09123668735000003,188.77796901893288
red1,1,confirm,0,lite,1024,16,0.5,5,10,10,0,6,60,5,3656,5,0.08333333333333333,219360,33617,0.15325036469730124,0,0.16770858959999999,314.6299483648881
red1,1,confirm,0,adaptive_lite,1024,16,0.5,5,10,10,0,6,60,5,3656,7,0.11666666666666667,219360,29599,0.1349334427425237,0,0.2210344239833334,440.48192771084337
red1,1,confirm,0,standard,1024,16,0.5,5,10,10,0,7,60,5,3656,5,0.08333333333333333,219360,34026,0.1551148796498906,0,0.09041217225,314.6299483648881
red1,1,confirm,0,lite,1024,16,0.5,5,10,10,0,7,60,5,3656,8,0.13333333333333333,219360,34392,0.15678336980306345,0,0.16062319908333336,503.407917383821
red1,1,confirm,0,adaptive_lite,1024,16,0.5,5,10,10,0,7,60,5,3656,11,0.18333333333333332,219360,30017,0.13683898614150256,0,0.20200967823333332,692.1858864027539
red1,2,confirm,0,standard,2048,64,0.5,3,5,8,4,6,60,4,4336,0,0.0,260160,78771,0.3027790590405904,0,0.13080072964999995,0.0
red1,2,confirm,0,lite,2048,64,0.5,3,5,8,4,6,60,4,4336,35,0.5833333333333334,260160,2534,0.009740159901599016,0,0.20391669221666667,1935.7142857142856
red1,2,confirm,0,adaptive_lite,2048,64,0.5,3,5,8,4,6,60,4,4336,35,0.5833333333333334,260160,2534,0.009740159901599016,0,0.29964949288333337,1935.7142857142856
red1,2,confirm,0,standard,2048,64,0.5,3,5,8,4,7,60,4,4336,0,0.0,260160,78275,0.30087253997539976,0,0.1310113547,0.0
red1,2,confirm,0,lite,2048,64,0.5,3,5,8,4,7,60,4,4336,28,0.4666666666666667,260160,3112,0.011961869618696186,0,0.20754559521666663,1548.5714285714284
red1,2,confirm,0,adaptive_lite,2048,64,0.5,3,5,8,4,7,60,4,4336,28,0.4666666666666667,260160,3112,0.011961869618696186,0,0.2884207829833333,1548.5714285714284
red1,2,confirm,0,standard,2048,64,0.5,3,4,8,4,6,60,4,4064,0,0.0,243840,67700,0.27764107611548555,0,0.13755321271666668,0.0
red1,2,confirm,0,lite,2048,64,0.5,3,4,8,4,6,60,4,4064,37,0.6166666666666667,243840,2050,0.008407152230971129,0,0.19965586650000003,1917.9591836734692
red1,2,confirm,0,adaptive_lite,2048,64,0.5,3,4,8,4,6,60,4,4064,37,0.6166666666666667,243840,2050,0.008407152230971129,0,0.28313565035000005,1917.9591836734692
red1,2,confirm,0,standard,2048,64,0.5,3,4,8,4,7,60,4,4064,0,0.0,243840,67554,0.2770423228346457,0,0.13270310266666668,0.0
red1,2,confirm,0,lite,2048,64,0.5,3,4,8,4,7,60,4,4064,40,0.6666666666666666,243840,1109,0.004548064304461942,0,0.2001231723666667,2073.4693877551017
red1,2,confirm,0,adaptive_lite,2048,64,0.5,3,4,8,4,7,60,4,4064,40,0.6666666666666666,243840,1109,0.004548064304461942,0,0.30680196928333336,2073.4693877551017
red1,2,confirm,0,standard,2048,0,0.5,3,4,8,4,6,60,4,4064,0,0.0,243840,67428,0.2765255905511811,0,0.12994439266666666,0.0
red1,2,confirm,0,lite,2048,0,0.5,3,4,8,4,6,60,4,4064,37,0.6166666666666667,243840,2653,0.01088008530183727,0,0.19049898758333328,1957.9166666666667
red1,2,confirm,0,adaptive_lite,2048,0,0.5,3,4,8,4,6,60,4,4064,37,0.6166666666666667,243840,2653,0.01088008530183727,0,0.30769620908333334,1957.9166666666667
red1,2,confirm,0,standard,2048,0,0.5,3,4,8,4,7,60,4,4064,0,0.0,243840,67357,0.2762344160104987,0,0.12013335001666667,0.0
red1,2,confirm,0,lite,2048,0,0.5,3,4,8,4,7,60,4,4064,36,0.6,243840,1973,0.008091371391076116,0,0.18846476943333326,1905.0
red1,2,confirm,0,adaptive_lite,2048,0,0.5,3,4,8,4,7,60,4,4064,36,0.6,243840,1973,0.008091371391076116,0,0.2777157629333333,1905.0
red1,2,confirm,0,standard,1024,16,0.5,5,10,10,0,6,60,5,3656,3,0.05,219360,35049,0.15977844638949673,0,0.09135940793333333,188.77796901893288
red1,2,confirm,0,lite,1024,16,0.5,5,10,10,0,6,60,5,3656,1,0.016666666666666666,219360,36280,0.16539022611232676,0,0.16573771906666668,62.92598967297762
red1,2,confirm,0,adaptive_lite,1024,16,0.5,5,10,10,0,6,60,5,3656,3,0.05,219360,32330,0.1473832968636032,0,0.22909809078333335,188.77796901893288
red1,2,confirm,0,standard,1024,16,0.5,5,10,10,0,7,60,5,3656,3,0.05,219360,34875,0.15898522975929977,0,0.09477592430000001,188.77796901893288
red1,2,confirm,0,lite,1024,16,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,36340,0.16566374908825673,0,0.1650532838833333,0.0
red1,2,confirm,0,adaptive_lite,1024,16,0.5,5,10,10,0,7,60,5,3656,3,0.05,219360,31923,0.14552789934354485,0,0.21376524778333333,188.77796901893288
red1,3,confirm,0,standard,2048,128,0.5,5,10,8,4,6,60,4,5859,0,0.0,351540,109880,0.31256755987938784,0,0.055649942966666685,0.0
red1,3,confirm,0,lite,2048,128,0.5,5,10,8,4,6,60,4,5859,50,0.8333333333333334,351540,1118,0.0031802924276042558,0,0.08127097981666667,3661.875
red1,3,confirm,0,adaptive_lite,2048,128,0.5,5,10,8,4,6,60,4,5859,50,0.8333333333333334,351540,1118,0.0031802924276042558,0,0.11752266653333333,3661.875
red1,3,confirm,0,standard,2048,128,0.5,5,10,8,4,7,60,4,5859,0,0.0,351540,109843,0.3124623086988678,0,0.05636075606666666,0.0
red1,3,confirm,0,lite,2048,128,0.5,5,10,8,4,7,60,4,5859,49,0.8166666666666667,351540,1531,0.004355123172327473,0,0.08014498521666666,3588.6375
red1,3,confirm,0,adaptive_lite,2048,128,0.5,5,10,8,4,7,60,4,5859,49,0.8166666666666667,351540,1531,0.004355123172327473,0,0.11410370054999998,3588.6375
red1,3,confirm,0,standard,512,32,0.5,5,10,10,0,6,60,10,3656,56,0.9333333333333333,219360,5,2.2793581327498177e-5,0,0.03343557685000001,3435.1677852348994
red1,3,confirm,0,lite,512,32,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,41608,0.18967906637490883,0,0.07359066304999999,0.0
red1,3,confirm,0,adaptive_lite,512,32,0.5,5,10,10,0,6,60,10,3656,56,0.9333333333333333,219360,5,2.2793581327498177e-5,0,0.04143871041666667,3435.1677852348994
red1,3,confirm,0,standard,512,32,0.5,5,10,10,0,7,60,10,3656,57,0.95,219360,3,1.3676148796498906e-5,0,0.03408825359999999,3496.510067114094
red1,3,confirm,0,lite,512,32,0.5,5,10,10,0,7,60,10,3656,0,0.0,219360,41803,0.19056801604668125,0,0.07340712468333331,0.0
red1,3,confirm,0,adaptive_lite,512,32,0.5,5,10,10,0,7,60,10,3656,57,0.95,219360,3,1.3676148796498906e-5,0,0.04202537831666665,3496.510067114094
red1,3,confirm,0,standard,512,32,0.5,8,8,10,0,6,60,10,3834,44,0.7333333333333333,230040,4233,0.01840114762649974,0,0.03844550755000001,2830.469798657718
red1,3,confirm,0,lite,512,32,0.5,8,8,10,0,6,60,10,3834,0,0.0,230040,72171,0.3137323943661972,0,0.07236229591666667,0.0
red1,3,confirm,0,adaptive_lite,512,32,0.5,8,8,10,0,6,60,10,3834,29,0.48333333333333334,230040,21776,0.09466179794818293,0,0.07105474849999999,1865.5369127516778
red1,3,confirm,0,standard,512,32,0.5,8,8,10,0,7,60,10,3834,47,0.7833333333333333,230040,4390,0.019083637628238566,0,0.037173412966666666,3023.4563758389263
red1,3,confirm,0,lite,512,32,0.5,8,8,10,0,7,60,10,3834,0,0.0,230040,68299,0.2969005390366893,0,0.07367989215000001,0.0
red1,3,confirm,0,adaptive_lite,512,32,0.5,8,8,10,0,7,60,10,3834,25,0.4166666666666667,230040,27984,0.12164840897235263,0,0.07184160483333332,1608.221476510067
red1,3,confirm,0,standard,1024,16,0.5,5,10,10,0,6,60,5,3656,18,0.3,219360,22406,0.10214259664478482,0,0.037813076516666676,1132.6678141135972
red1,3,confirm,0,lite,1024,16,0.5,5,10,10,0,6,60,5,3656,44,0.7333333333333333,219360,3094,0.014104668125455872,0,0.06928936056666667,2768.7435456110156
red1,3,confirm,0,adaptive_lite,1024,16,0.5,5,10,10,0,6,60,5,3656,47,0.7833333333333333,219360,2992,0.013639679066374909,0,0.07162627611666668,2957.5215146299483
red1,3,confirm,0,standard,1024,16,0.5,5,10,10,0,7,60,5,3656,16,0.26666666666666666,219360,22068,0.10060175054704595,0,0.03687256003333332,1006.815834767642
red1,3,confirm,0,lite,1024,16,0.5,5,10,10,0,7,60,5,3656,44,0.7333333333333333,219360,4497,0.02050054704595186,0,0.06489991395,2768.7435456110156
red1,3,confirm,0,adaptive_lite,1024,16,0.5,5,10,10,0,7,60,5,3656,42,0.7,219360,4420,0.020149525893508387,0,0.07376974853333335,2642.89156626506
red2,1,confirm,0,standard,512,16,0.25,3,10,10,0,6,60,10,1496,46,0.7666666666666667,89760,20,0.0002228163992869875,0,0.07203681691666668,1174.334470989761
red2,1,confirm,0,lite,512,16,0.25,3,10,10,0,6,60,10,1496,26,0.43333333333333335,89760,416,0.004634581105169341,0,0.12527422963333334,663.7542662116041
red2,1,confirm,0,adaptive_lite,512,16,0.25,3,10,10,0,6,60,10,1496,46,0.7666666666666667,89760,21,0.0002339572192513369,0,0.11479707373333332,1174.334470989761
red2,1,confirm,0,standard,512,16,0.25,3,10,10,0,7,60,10,1496,48,0.8,89760,20,0.0002228163992869875,0,0.07092639323333334,1225.3924914675767
red2,1,confirm,0,lite,512,16,0.25,3,10,10,0,7,60,10,1496,24,0.4,89760,305,0.0033979500891265597,0,0.11690580173333334,612.6962457337884
red2,1,confirm,0,adaptive_lite,512,16,0.25,3,10,10,0,7,60,10,1496,46,0.7666666666666667,89760,24,0.00026737967914438503,0,0.11721208620000004,1174.334470989761
red2,1,confirm,0,standard,2048,64,0.25,3,10,10,4,6,60,4,2432,2,0.03333333333333333,145920,32146,0.22029879385964912,0,0.13671033305,62.04081632653061
red2,1,confirm,0,lite,2048,64,0.25,3,10,10,4,6,60,4,2432,39,0.65,145920,85,0.0005825109649122807,0,0.22893888776666665,1209.7959183673468
red2,1,confirm,0,adaptive_lite,2048,64,0.25,3,10,10,4,6,60,4,2432,39,0.65,145920,85,0.0005825109649122807,0,0.29689511825000003,1209.7959183673468
red2,1,confirm,0,standard,2048,64,0.25,3,10,10,4,7,60,4,2432,5,0.08333333333333333,145920,32271,0.22115542763157894,0,0.12698572958333332,155.1020408163265
red2,1,confirm,0,lite,2048,64,0.25,3,10,10,4,7,60,4,2432,41,0.6833333333333333,145920,156,0.0010690789473684211,0,0.22171889344999998,1271.8367346938774
red2,1,confirm,0,adaptive_lite,2048,64,0.25,3,10,10,4,7,60,4,2432,41,0.6833333333333333,145920,156,0.0010690789473684211,0,0.2917406116833334,1271.8367346938774
red2,1,confirm,0,standard,512,32,0.25,3,10,10,0,6,60,10,1496,54,0.9,89760,8,8.9126559714795e-5,0,0.08246976178333333,1355.4362416107383
red2,1,confirm,0,lite,512,32,0.25,3,10,10,0,6,60,10,1496,31,0.5166666666666667,89760,229,0.002551247771836007,0,0.11877542704999997,778.1208053691275
red2,1,confirm,0,adaptive_lite,512,32,0.25,3,10,10,0,6,60,10,1496,54,0.9,89760,8,8.9126559714795e-5,0,0.1056497965,1355.4362416107383
red2,1,confirm,0,standard,512,32,0.25,3,10,10,0,7,60,10,1496,48,0.8,89760,20,0.0002228163992869875,0,0.08859262218333333,1204.8322147651006
red2,1,confirm,0,lite,512,32,0.25,3,10,10,0,7,60,10,1496,29,0.48333333333333334,89760,246,0.0027406417112299467,0,0.12270371114999998,727.9194630872483
