channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,screen,1,standard,512,16,0.25,3,10,10,4,5,20,4,588,20,1.0,11760,0,0.0,0,0.03589254395,909.2783505154639
red1,1,screen,1,lite,512,16,0.25,3,10,10,4,5,20,4,588,14,0.7,11760,40,0.003401360544217687,0,0.056951534250000005,636.4948453608247
red1,1,screen,1,adaptive_lite,512,16,0.25,3,10,10,4,5,20,4,588,20,1.0,11760,0,0.0,0,0.06870578895,909.2783505154639
red1,1,screen,3,standard,2048,32,0.5,8,3,8,1,5,20,1,1173,0,0.0,23460,7115,0.30328218243819266,0,0.05384524275,0.0
red1,1,screen,3,lite,2048,32,0.5,8,3,8,1,5,20,1,1173,4,0.2,23460,2528,0.10775788576300085,0,0.06871923395000001,364.66321243523316
red1,1,screen,3,adaptive_lite,2048,32,0.5,8,3,8,1,5,20,1,1173,4,0.2,23460,2528,0.10775788576300085,0,0.07664680025000001,364.66321243523316
red1,1,screen,1,standard,512,128,0.25,3,10,10,0,5,20,8,1193,18,0.9,23860,2,8.382229673093043e-5,0,0.061423466449999985,1118.4375
red1,1,screen,1,lite,512,128,0.25,3,10,10,0,5,20,8,1193,15,0.75,23860,16,0.0006705783738474435,0,0.1093272461,932.03125
red1,1,screen,1,adaptive_lite,512,128,0.25,3,10,10,0,5,20,8,1193,20,1.0,23860,0,0.0,0,0.07357400345,1242.7083333333335
red1,1,screen,3,standard,512,128,0.5,5,10,8,4,5,20,4,1452,5,0.25,29040,2747,0.09459366391184573,0,0.06791365245,523.5576923076923
red1,1,screen,3,lite,512,128,0.5,5,10,8,4,5,20,4,1452,0,0.0,29040,8108,0.27920110192837466,0,0.05643781369999999,0.0
red1,1,screen,3,adaptive_lite,512,128,0.5,5,10,8,4,5,20,4,1452,5,0.25,29040,2747,0.09459366391184573,0,0.06348294439999999,523.5576923076923
red1,1,screen,3,standard,2048,0,0.25,5,10,8,4,5,20,4,2921,0,0.0,58420,14662,0.2509756932557343,0,0.1173879852,0.0
red1,1,screen,3,lite,2048,0,0.25,5,10,8,4,5,20,4,2921,9,0.45,58420,19,0.00032523108524477916,0,0.21927747755,1026.9140625
red1,1,screen,3,adaptive_lite,2048,0,0.25,5,10,8,4,5,20,4,2921,9,0.45,58420,19,0.00032523108524477916,0,0.2662629433,1026.9140625
red1,1,screen,2,standard,2048,128,0.25,4,3,10,4,5,20,4,2021,0,0.0,40420,9764,0.24156358238495795,0,0.11054895540000001,0.0
red1,1,screen,2,lite,2048,128,0.25,4,3,10,4,5,20,4,2021,12,0.6,40420,27,0.0006679861454725384,0,0.18214695895,909.4499999999999
red1,1,screen,2,adaptive_lite,2048,128,0.25,4,3,10,4,5,20,4,2021,12,0.6,40420,27,0.0006679861454725384,0,0.28006041159999995,909.4499999999999
red1,1,screen,3,standard,2048,32,0.5,8,5,8,1,5,20,1,1411,0,0.0,28220,9114,0.3229624379872431,0,0.04545100850000001,0.0
red1,1,screen,3,lite,2048,32,0.5,8,5,8,1,5,20,1,1411,3,0.15,28220,2974,0.10538625088589652,0,0.06580977800000001,328.9896373056995
red1,1,screen,3,adaptive_lite,2048,32,0.5,8,5,8,1,5,20,1,1411,3,0.15,28220,3296,0.11679659815733523,0,0.08492247085,328.9896373056995
red1,1,screen,3,standard,2048,0,0.5,3,4,8,4,5,20,4,4064,0,0.0,81280,22795,0.28045029527559057,0,0.1507227436,0.0
red1,1,screen,3,lite,2048,0,0.5,3,4,8,4,5,20,4,4064,14,0.7,81280,1162,0.014296259842519685,0,0.19096006245000002,2222.5
red1,1,screen,3,adaptive_lite,2048,0,0.5,3,4,8,4,5,20,4,4064,14,0.7,81280,1162,0.014296259842519685,0,0.3099131723,2222.5
red1,1,screen,2,standard,512,0,0.25,5,5,10,4,5,20,4,636,11,0.55,12720,13,0.0010220125786163522,0,0.0557961465,546.5625
red1,1,screen,2,lite,512,0,0.25,5,5,10,4,5,20,4,636,5,0.25,12720,1167,0.09174528301886792,0,0.0627446395,248.4375
red1,1,screen,2,adaptive_lite,512,0,0.25,5,5,10,4,5,20,4,636,11,0.55,12720,13,0.0010220125786163522,0,0.07012132045,546.5625
red1,1,screen,3,standard,2048,32,0.5,5,10,10,1,5,20,1,1452,0,0.0,29040,9347,0.321866391184573,0,0.047957726049999996,0.0
red1,1,screen,3,lite,2048,32,0.5,5,10,10,1,5,20,1,1452,7,0.35,29040,2500,0.08608815426997245,0,0.061473101649999994,789.9481865284973
