channel,lane,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,mean_effective_rate_bps,min_effective_rate_bps,mean_psr,ber,decode_seconds
red1,1,standard,512,16,0.5,3,4,10,0,1922.8668941979522,1880.136518771331,0.75,0.004452875399361023,0.0912271581
red1,1,adaptive_lite,512,16,0.5,3,4,10,0,1922.8668941979522,1880.136518771331,0.75,0.004452875399361023,0.12782195399166668
red1,1,lite,2048,0,0.5,3,3,8,4,1833.203125,1786.1979166666667,0.6499999999999999,0.001793628808864266,0.19452588064166665
red1,1,adaptive_lite,2048,0,0.5,3,3,8,4,1833.203125,1786.1979166666667,0.6499999999999999,0.001793628808864266,0.2854192060083333
red1,1,lite,2048,0,0.5,3,4,8,4,1772.7083333333335,1640.4166666666667,0.5583333333333333,0.008257463910761155,0.208444464
red1,1,adaptive_lite,2048,0,0.5,3,4,8,4,1772.7083333333335,1640.4166666666667,0.5583333333333333,0.008257463910761155,0.2823232884833333
red1,1,adaptive_lite,1024,16,0.5,5,10,10,0,566.3339070567986,440.48192771084337,0.15,0.13588621444201313,0.21152205110833336
red1,1,lite,512,16,0.5,3,4,10,0,555.494880546075,555.494880546075,0.21666666666666667,0.14353700745473907,0.15457595123333334
red1,1,lite,1024,16,0.5,5,10,10,0,409.0189328743545,314.6299483648881,0.10833333333333334,0.15501686725018235,0.16416589434166667
red1,1,standard,1024,16,0.5,5,10,10,0,251.7039586919105,188.77796901893288,0.06666666666666667,0.1563092633114515,0.09082442980000002
red1,1,standard,2048,0,0.5,3,4,8,4,52.91666666666667,52.91666666666667,0.016666666666666666,0.28403871391076113,0.13259273893333332
red1,1,standard,2048,0,0.5,3,3,8,4,0.0,0.0,0.0,0.2968028624192059,0.13032370724166664
red1,2,lite,2048,64,0.5,3,4,8,4,1995.7142857142853,1917.9591836734692,0.6416666666666666,0.006477608267716536,0.19988951943333338
red1,2,adaptive_lite,2048,64,0.5,3,4,8,4,1995.7142857142853,1917.9591836734692,0.6416666666666666,0.006477608267716536,0.29496880981666673
red1,2,lite,2048,0,0.5,3,4,8,4,1931.4583333333335,1905.0,0.6083333333333334,0.009485728346456694,0.18948187850833326
red1,2,adaptive_lite,2048,0,0.5,3,4,8,4,1931.4583333333335,1905.0,0.6083333333333334,0.009485728346456694,0.2927059860083333
red1,2,lite,2048,64,0.5,3,5,8,4,1742.1428571428569,1548.5714285714284,0.525,0.010851014760147602,0.20573114371666665
red1,2,adaptive_lite,2048,64,0.5,3,5,8,4,1742.1428571428569,1548.5714285714284,0.525,0.010851014760147602,0.29403513793333336
red1,2,adaptive_lite,1024,16,0.5,5,10,10,0,188.77796901893288,188.77796901893288,0.05,0.14645559810357403,0.22143166928333335
red1,2,standard,1024,16,0.5,5,10,10,0,188.77796901893288,188.77796901893288,0.05,0.15938183807439826,0.09306766611666667
red1,2,lite,1024,16,0.5,5,10,10,0,31.46299483648881,0.0,0.008333333333333333,0.16552698760029175,0.16539550147499998
red1,2,standard,2048,0,0.5,3,4,8,4,0.0,0.0,0.0,0.2763800032808399,0.12503887134166666
red1,2,standard,2048,64,0.5,3,4,8,4,0.0,0.0,0.0,0.2773416994750656,0.1351281576916667
red1,2,standard,2048,64,0.5,3,5,8,4,0.0,0.0,0.0,0.3018257995079951,0.13090604217499996
red1,3,lite,2048,128,0.5,5,10,8,4,3625.25625,3588.6375,0.825,0.0037677077999658643,0.08070798251666667
red1,3,adaptive_lite,2048,128,0.5,5,10,8,4,3625.25625,3588.6375,0.825,0.0037677077999658643,0.11581318354166666
red1,3,standard,512,32,0.5,5,10,10,0,3465.838926174497,3435.1677852348994,0.9416666666666667,1.823486506199854e-5,0.033761915225
red1,3,adaptive_lite,512,32,0.5,5,10,10,0,3465.838926174497,3435.1677852348994,0.9416666666666667,1.823486506199854e-5,0.041732044366666665
red1,3,standard,512,32,0.5,8,8,10,0,2926.963087248322,2830.469798657718,0.7583333333333333,0.018742392627369153,0.03780946025833334
red1,3,adaptive_lite,1024,16,0.5,5,10,10,0,2800.2065404475043,2642.89156626506,0.7416666666666667,0.016894602479941647,0.072698012325
red1,3,lite,1024,16,0.5,5,10,10,0,2768.7435456110156,2768.7435456110156,0.7333333333333333,0.017302607585703865,0.06709463725833334
red1,3,adaptive_lite,512,32,0.5,8,8,10,0,1736.8791946308725,1608.221476510067,0.45,0.10815510346026778,0.07144817666666665
red1,3,standard,1024,16,0.5,5,10,10,0,1069.7418244406194,1006.815834767642,0.2833333333333333,0.1013721735959154,0.037342818274999995
red1,3,lite,512,32,0.5,5,10,10,0,0.0,0.0,0.0,0.19012354121079503,0.07349889386666665
red1,3,lite,512,32,0.5,8,8,10,0,0.0,0.0,0.0,0.30531646670144325,0.07302109403333334
red1,3,standard,2048,128,0.5,5,10,8,4,0.0,0.0,0.0,0.31251493428912785,0.05600534951666668
red2,1,standard,512,32,0.25,3,10,10,0,1280.1342281879195,1204.8322147651006,0.8500000000000001,0.00015597147950089128,0.08553119198333334
red2,1,adaptive_lite,512,32,0.25,3,10,10,0,1255.03355704698,1154.6308724832215,0.8333333333333334,0.00019496434937611408,0.11262101381666667
