channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,gradient_accepted_frames,conditioned_accepted_steps,conditioned_rejected_steps,selection_reasons
red1,1,confirm,0,profiled_cz,2048,0,0.5,3,3,8,4,6,60,4,3610,38,0.6333333333333333,216600,743,0.003430286241920591,0,0.6017012312333332,1786.1979166666667,0,0,0,crc_fallback:22;lite_crc_valid_skip:38
red1,1,confirm,0,profiled_cz,2048,0,0.5,3,3,8,4,7,60,4,3610,40,0.6666666666666666,216600,34,0.00015697137580794092,0,0.6292077572833334,1880.2083333333335,0,0,0,crc_fallback:20;lite_crc_valid_skip:40
red1,1,confirm,0,profiled_cz,2048,0,0.5,3,4,8,4,6,60,4,4064,36,0.6,243840,2284,0.009366797900262467,0,0.7501561541833334,1905.0,0,0,0,crc_fallback:24;lite_crc_valid_skip:36
red1,1,confirm,0,profiled_cz,2048,0,0.5,3,4,8,4,7,60,4,4064,31,0.5166666666666667,243840,1743,0.007148129921259842,0,0.8196945062333331,1640.4166666666667,0,0,0,crc_fallback:29;lite_crc_valid_skip:31
red1,1,confirm,0,profiled_cz,512,16,0.5,3,4,10,0,6,60,10,2504,13,0.21666666666666667,150240,21323,0.1419262513312034,0,0.8862309030166666,555.494880546075,0,0,0,crc_fallback:47;lite_crc_valid_skip:13
red1,1,confirm,0,profiled_cz,512,16,0.5,3,4,10,0,7,60,10,2504,14,0.23333333333333334,150240,21626,0.1439430244941427,0,0.8317130757500001,598.2252559726962,1,0,0,crc_fallback:46;crc_rescue:1;lite_crc_valid_skip:13
red1,1,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,6,60,5,3656,5,0.08333333333333333,219360,33617,0.15325036469730124,0,1.2197598295333334,314.6299483648881,0,0,0,crc_fallback:55;lite_crc_valid_skip:5
red1,1,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,7,60,5,3656,8,0.13333333333333333,219360,34392,0.15678336980306345,0,1.0809580941499999,503.407917383821,0,0,0,crc_fallback:52;lite_crc_valid_skip:8
red1,2,confirm,0,profiled_cz,2048,64,0.5,3,5,8,4,6,60,4,4336,35,0.5833333333333334,260160,2534,0.009740159901599016,0,0.6267529068833333,1935.7142857142856,0,0,0,crc_fallback:25;lite_crc_valid_skip:35
red1,2,confirm,0,profiled_cz,2048,64,0.5,3,5,8,4,7,60,4,4336,28,0.4666666666666667,260160,3112,0.011961869618696186,0,0.6955202774333334,1548.5714285714284,0,0,0,crc_fallback:32;lite_crc_valid_skip:28
red1,2,confirm,0,profiled_cz,2048,64,0.5,3,4,8,4,6,60,4,4064,39,0.65,243840,2048,0.008398950131233596,0,0.6180094007999999,2021.6326530612243,2,0,0,crc_fallback:21;crc_rescue:2;lite_crc_valid_skip:37
red1,2,confirm,0,profiled_cz,2048,64,0.5,3,4,8,4,7,60,4,4064,41,0.6833333333333333,243840,1108,0.004543963254593176,0,0.5475985928166665,2125.3061224489793,1,0,0,crc_fallback:19;crc_rescue:1;lite_crc_valid_skip:40
red1,2,confirm,0,profiled_cz,2048,0,0.5,3,4,8,4,6,60,4,4064,37,0.6166666666666667,243840,2653,0.01088008530183727,0,0.6583403118666664,1957.9166666666667,0,0,0,crc_fallback:23;lite_crc_valid_skip:37
red1,2,confirm,0,profiled_cz,2048,0,0.5,3,4,8,4,7,60,4,4064,37,0.6166666666666667,243840,1972,0.00808727034120735,0,0.7134571422666665,1957.9166666666667,1,0,0,crc_fallback:23;crc_rescue:1;lite_crc_valid_skip:36
red1,2,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,6,60,5,3656,1,0.016666666666666666,219360,36280,0.16539022611232676,0,0.8890802717333334,62.92598967297762,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red1,2,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,36340,0.16566374908825673,0,1.1030481391166667,0.0,0,0,0,crc_fallback:60
red1,3,confirm,0,profiled_cz,2048,128,0.5,5,10,8,4,6,60,4,5859,50,0.8333333333333334,351540,1118,0.0031802924276042558,0,0.48452330145000005,3661.875,0,0,0,crc_fallback:10;lite_crc_valid_skip:50
red1,3,confirm,0,profiled_cz,2048,128,0.5,5,10,8,4,7,60,4,5859,49,0.8166666666666667,351540,1531,0.004355123172327473,0,0.52550983055,3588.6375,0,0,0,crc_fallback:11;lite_crc_valid_skip:49
red1,3,confirm,0,profiled_cz,512,32,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,41608,0.18967906637490883,0,1.10084776845,0.0,0,0,0,crc_fallback:60
red1,3,confirm,0,profiled_cz,512,32,0.5,5,10,10,0,7,60,10,3656,0,0.0,219360,41803,0.19056801604668125,0,1.0124077233166666,0.0,0,0,0,crc_fallback:60
red1,3,confirm,0,profiled_cz,512,32,0.5,8,8,10,0,6,60,10,3834,0,0.0,230040,72171,0.3137323943661972,0,0.9432488823833334,0.0,0,0,0,crc_fallback:60
red1,3,confirm,0,profiled_cz,512,32,0.5,8,8,10,0,7,60,10,3834,0,0.0,230040,68299,0.2969005390366893,0,0.9733502279000003,0.0,0,0,0,crc_fallback:60
red1,3,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,6,60,5,3656,44,0.7333333333333333,219360,3094,0.014104668125455872,0,0.35492313340000003,2768.7435456110156,0,0,0,crc_fallback:16;lite_crc_valid_skip:44
red1,3,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,7,60,5,3656,44,0.7333333333333333,219360,4497,0.02050054704595186,0,0.3652171649166666,2768.7435456110156,0,0,0,crc_fallback:16;lite_crc_valid_skip:44
red2,1,confirm,0,profiled_cz,512,16,0.25,3,10,10,0,6,60,10,1496,26,0.43333333333333335,89760,416,0.004634581105169341,0,0.437847304,663.7542662116041,0,0,0,crc_fallback:34;lite_crc_valid_skip:26
red2,1,confirm,0,profiled_cz,512,16,0.25,3,10,10,0,7,60,10,1496,24,0.4,89760,305,0.0033979500891265597,0,0.5255453804833333,612.6962457337884,0,0,0,crc_fallback:36;lite_crc_valid_skip:24
red2,1,confirm,0,profiled_cz,2048,64,0.25,3,10,10,4,6,60,4,2432,39,0.65,145920,85,0.0005825109649122807,0,0.6304952227333335,1209.7959183673468,0,0,0,crc_fallback:21;lite_crc_valid_skip:39
red2,1,confirm,0,profiled_cz,2048,64,0.25,3,10,10,4,7,60,4,2432,43,0.7166666666666667,145920,154,0.0010553728070175439,0,0.6690017534666666,1333.877551020408,2,0,0,crc_fallback:17;crc_rescue:2;lite_crc_valid_skip:41
red2,1,confirm,0,profiled_cz,512,32,0.25,3,10,10,0,6,60,10,1496,31,0.5166666666666667,89760,229,0.002551247771836007,0,0.45600271956666677,778.1208053691275,0,0,0,crc_fallback:29;lite_crc_valid_skip:31
red2,1,confirm,0,profiled_cz,512,32,0.25,3,10,10,0,7,60,10,1496,30,0.5,89760,245,0.002729500891265597,0,0.4800076261499999,753.0201342281879,1,0,0,crc_fallback:31;crc_rescue:1;lite_crc_valid_skip:28
red2,1,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,6,60,5,3656,1,0.016666666666666666,219360,47274,0.21550875273522976,0,1.2490003596166668,61.34228187919463,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,1,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,7,60,5,3656,1,0.016666666666666666,219360,46342,0.2112600291757841,0,1.1949146607666667,61.34228187919463,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,2,confirm,0,profiled_cz,512,32,0.5,3,8,10,0,6,60,10,2924,0,0.0,175440,39010,0.22235522115823073,0,0.9837613918333332,0.0,0,0,0,crc_fallback:60
red2,2,confirm,0,profiled_cz,512,32,0.5,3,8,10,0,7,60,10,2924,0,0.0,175440,38664,0.22038303693570452,0,0.9050821014333337,0.0,0,0,0,crc_fallback:60
red2,2,confirm,0,profiled_cz,512,32,0.5,3,5,10,0,6,60,10,2672,1,0.016666666666666666,160320,31927,0.19914545908183634,0,0.8461881944166667,44.83221476510067,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,2,confirm,0,profiled_cz,512,32,0.5,3,5,10,0,7,60,10,2672,2,0.03333333333333333,160320,30996,0.1933383233532934,0,0.8309387153000001,89.66442953020135,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red2,2,confirm,0,profiled_cz,512,32,0.5,3,10,10,0,6,60,10,3008,0,0.0,180480,37793,0.20940270390070923,0,1.0176232833999999,0.0,0,0,0,crc_fallback:60
red2,2,confirm,0,profiled_cz,512,32,0.5,3,10,10,0,7,60,10,3008,0,0.0,180480,38263,0.21200687056737588,0,0.8755763704499998,0.0,0,0,0,crc_fallback:60
red2,2,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,39325,0.17927151714077316,0,1.0167574052666666,0.0,0,0,0,crc_fallback:60
red2,2,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,40531,0.1847693289569657,0,1.085122889133333,0.0,0,0,0,crc_fallback:60
red2,3,confirm,0,profiled_cz,512,32,0.5,3,8,10,0,6,60,10,2924,1,0.016666666666666666,175440,33780,0.19254445964432285,0,0.9741853320333335,49.060402684563755,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,3,confirm,0,profiled_cz,512,32,0.5,3,8,10,0,7,60,10,2924,1,0.016666666666666666,175440,33746,0.19235066119471045,0,0.9394884438833336,49.060402684563755,1,0,0,crc_fallback:59;crc_rescue:1
red2,3,confirm,0,profiled_cz,512,32,0.5,5,5,10,0,6,60,10,3248,1,0.016666666666666666,194880,40555,0.20810242200328408,0,1.0116530705666669,54.49664429530201,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,3,confirm,0,profiled_cz,512,32,0.5,5,5,10,0,7,60,10,3248,1,0.016666666666666666,194880,39507,0.2027247536945813,0,0.9425762433833333,54.49664429530201,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,3,confirm,0,profiled_cz,512,32,0.5,3,10,10,0,6,60,10,3008,1,0.016666666666666666,180480,31327,0.1735760195035461,0,0.7778141560666667,50.46979865771812,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red2,3,confirm,0,profiled_cz,512,32,0.5,3,10,10,0,7,60,10,3008,2,0.03333333333333333,180480,32894,0.1822584219858156,0,0.71322959545,100.93959731543625,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red2,3,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,6,60,5,3656,2,0.03333333333333333,219360,33822,0.15418490153172867,0,0.8455522188500002,122.68456375838926,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red2,3,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,34166,0.15575309992706055,0,0.8504773011833335,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,512,32,0.5,3,10,8,0,6,60,10,3008,0,0.0,180480,39513,0.21893284574468086,0,0.8532122819,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,512,32,0.5,3,10,8,0,7,60,10,3008,0,0.0,180480,39923,0.22120456560283688,0,0.8862076986833334,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,512,32,0.5,3,10,10,0,6,60,10,3008,0,0.0,180480,41702,0.2310616134751773,0,1.0547708166833334,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,512,32,0.5,3,10,10,0,7,60,10,3008,0,0.0,180480,41795,0.2315769060283688,0,1.0017046776,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,512,32,0.5,3,8,8,0,6,60,10,2924,0,0.0,175440,40765,0.23235864113087096,0,0.9041499130333333,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,512,32,0.5,3,8,8,0,7,60,10,2924,0,0.0,175440,41054,0.23400592795257638,0,1.0255403296166667,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,44237,0.20166393143690736,0,1.2006495249166664,0.0,0,0,0,crc_fallback:60
red3,1,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,44698,0.2037654996353027,0,0.9855827042666667,0.0,0,0,0,crc_fallback:60
red3,2,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,48902,0.22293034281546317,0,0.9816579799999999,0.0,1,0,0,crc_fallback:59;crc_rescue:1
red3,2,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,7,60,10,3656,0,0.0,219360,49806,0.22705142231947484,0,1.02490244205,0.0,0,0,0,crc_fallback:60
red3,2,confirm,0,profiled_cz,512,32,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,49111,0.2238831145149526,0,1.1016590785833331,0.0,0,0,0,crc_fallback:60
red3,2,confirm,0,profiled_cz,512,32,0.5,5,10,10,0,7,60,10,3656,0,0.0,219360,49157,0.22409281546316556,0,0.9515908441666667,0.0,0,0,0,crc_fallback:60
red3,2,confirm,0,profiled_cz,512,16,0.5,5,8,10,0,6,60,10,3554,0,0.0,213240,47480,0.2226599137122491,0,1.0786262976333336,0.0,0,0,0,crc_fallback:60
red3,2,confirm,0,profiled_cz,512,16,0.5,5,8,10,0,7,60,10,3554,0,0.0,213240,47779,0.2240620896642281,0,1.0249831886333334,0.0,0,0,0,crc_fallback:60
red3,2,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,6,60,5,3656,1,0.016666666666666666,219360,35746,0.16295587162654995,0,1.0898443845000003,61.34228187919463,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red3,2,confirm,0,profiled_cz,1024,64,0.5,5,10,10,0,7,60,5,3656,2,0.03333333333333333,219360,34476,0.15716630196936543,0,1.0463946581166668,122.68456375838926,1,0,0,crc_fallback:58;crc_rescue:1;lite_crc_valid_skip:1
red3,3,confirm,0,profiled_cz,512,16,0.5,5,10,8,0,6,60,10,3656,0,0.0,219360,46236,0.21077680525164114,0,0.8290922751500001,0.0,0,0,0,crc_fallback:60
red3,3,confirm,0,profiled_cz,512,16,0.5,5,10,8,0,7,60,10,3656,0,0.0,219360,45460,0.20723924142961342,0,0.8153595606999999,0.0,0,0,0,crc_fallback:60
red3,3,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,51169,0.23326495258935084,0,0.8361279595333334,0.0,0,0,0,crc_fallback:60
