channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,confirm,0,pfft,2048,32,0.25,3,10,10,4,6,60,4,2432,35,0.5833333333333334,145920,58,0.0003974780701754386,0,0.11274686011666665,1096.9072164948454
red1,1,confirm,0,pfft,2048,32,0.25,3,10,10,4,7,60,4,2432,38,0.6333333333333333,145920,52,0.00035635964912280704,0,0.11150408870000002,1190.9278350515465
red1,1,confirm,0,pfft,2048,128,0.25,5,10,10,4,6,60,4,2921,22,0.36666666666666664,175260,124,0.0007075202556202214,0,0.13332121783333334,803.275
red1,1,confirm,0,pfft,2048,128,0.25,5,10,10,4,7,60,4,2921,23,0.38333333333333336,175260,117,0.0006675795960287572,0,0.12848181186666668,839.7875
red1,1,confirm,0,pfft,2048,32,0.25,3,8,10,4,6,60,4,2364,30,0.5,141840,62,0.000437112239142696,0,0.11356705291666666,913.917525773196
red1,1,confirm,0,pfft,2048,32,0.25,3,8,10,4,7,60,4,2364,30,0.5,141840,61,0.0004300620417371686,0,0.11620030113333334,913.917525773196
red1,1,confirm,0,pfft,1024,16,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,41502,0.18919584245076587,0,0.10199437103333334,0.0
red1,1,confirm,0,pfft,1024,16,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,41525,0.18930069292487237,0,0.09918040515,0.0
red1,2,confirm,0,pfft,2048,32,0.25,3,4,10,4,6,60,4,2024,39,0.65,121440,39,0.0003211462450592885,0,0.11380151793333333,1017.2164948453609
red1,2,confirm,0,pfft,2048,32,0.25,3,4,10,4,7,60,4,2024,41,0.6833333333333333,121440,39,0.0003211462450592885,0,0.11753437276666666,1069.381443298969
red1,2,confirm,0,pfft,2048,32,0.25,5,5,10,4,6,60,4,2595,30,0.5,155700,72,0.00046242774566473987,0,0.12641527201666664,1003.2216494845361
red1,2,confirm,0,pfft,2048,32,0.25,5,5,10,4,7,60,4,2595,30,0.5,155700,97,0.0006229929351316635,0,0.12815626601666666,1003.2216494845361
red1,2,confirm,0,pfft,2048,32,0.25,3,8,10,4,6,60,4,2364,33,0.55,141840,43,0.00030315848843767625,0,0.12643115373333333,1005.3092783505156
red1,2,confirm,0,pfft,2048,32,0.25,3,8,10,4,7,60,4,2364,38,0.6333333333333333,141840,37,0.00026085730400451213,0,0.11785557488333333,1157.6288659793815
red1,2,confirm,0,pfft,1024,16,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,41413,0.1887901167031364,0,0.10578052816666667,0.0
red1,2,confirm,0,pfft,1024,16,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,41270,0.18813822027716995,0,0.09125624555000003,0.0
red1,3,confirm,0,pfft,2048,128,0.5,5,5,10,4,6,60,4,5206,37,0.6166666666666667,312360,8905,0.02850877192982456,0,0.07119107330000002,2407.775
red1,3,confirm,0,pfft,2048,128,0.5,5,5,10,4,7,60,4,5206,39,0.65,312360,8677,0.027778844922525293,0,0.06984692548333334,2537.925
red1,3,confirm,0,pfft,2048,16,0.5,5,8,10,4,6,60,4,5696,32,0.5333333333333333,341760,15435,0.04516327247191011,0,0.06542272128333333,2361.0362694300516
red1,3,confirm,0,pfft,2048,16,0.5,5,8,10,4,7,60,4,5696,29,0.48333333333333334,341760,13856,0.04054307116104869,0,0.05856590838333333,2139.689119170984
red1,3,confirm,0,pfft,2048,64,0.5,5,5,10,4,6,60,4,5206,37,0.6166666666666667,312360,9083,0.029078627224996798,0,0.057713608150000005,2456.9132653061224
red1,3,confirm,0,pfft,2048,64,0.5,5,5,10,4,7,60,4,5206,33,0.55,312360,9717,0.031108336534767574,0,0.05760484535,2191.301020408163
red1,3,confirm,0,pfft,1024,16,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,27006,0.12311269146608315,0,0.038737517816666664,0.0
red1,3,confirm,0,pfft,1024,16,0.5,5,10,10,0,7,60,5,3656,1,0.016666666666666666,219360,27004,0.12310357403355215,0,0.03825285726666667,62.92598967297762
red2,1,confirm,0,pfft,2048,0,0.25,3,5,10,0,6,60,2,1072,14,0.23333333333333334,64320,1284,0.01996268656716418,0,0.06565473328333334,293.125
red2,1,confirm,0,pfft,2048,0,0.25,3,5,10,0,7,60,2,1072,13,0.21666666666666667,64320,1411,0.02193718905472637,0,0.07293391403333332,272.1875
red2,1,confirm,0,pfft,2048,0,0.25,3,5,10,2,6,60,2,1072,14,0.23333333333333334,64320,1284,0.01996268656716418,0,0.06587310195,293.125
red2,1,confirm,0,pfft,2048,0,0.25,3,5,10,2,7,60,2,1072,13,0.21666666666666667,64320,1411,0.02193718905472637,0,0.06567874156666667,272.1875
red2,1,confirm,0,pfft,2048,32,0.25,5,8,10,2,6,60,2,1412,7,0.11666666666666667,84720,602,0.00710576015108593,0,0.0655949173,191.5503875968992
red2,1,confirm,0,pfft,2048,32,0.25,5,8,10,2,7,60,2,1412,12,0.2,84720,557,0.006574598677998112,0,0.06689473603333333,328.3720930232558
red2,1,confirm,0,pfft,1024,64,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,49554,0.22590262582056891,0,0.09395565609999999,0.0
red2,1,confirm,0,pfft,1024,64,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,49868,0.22733406272793583,0,0.09101975721666668,0.0
red2,2,confirm,0,pfft,2048,0,0.25,5,5,10,1,6,60,1,636,23,0.38333333333333336,38160,246,0.006446540880503145,0,0.03865317976666667,380.9375
red2,2,confirm,0,pfft,2048,0,0.25,5,5,10,1,7,60,1,636,28,0.4666666666666667,38160,192,0.005031446540880503,0,0.04214273668333332,463.75
red2,2,confirm,0,pfft,1024,32,0.25,3,10,10,2,6,60,2,596,28,0.4666666666666667,35760,171,0.004781879194630872,0,0.04044938673333332,430.1030927835052
red2,2,confirm,0,pfft,1024,32,0.25,3,10,10,2,7,60,2,596,33,0.55,35760,260,0.00727069351230425,0,0.04810143655,506.9072164948454
red2,2,confirm,0,pfft,2048,0,0.25,3,10,10,2,6,60,2,1208,19,0.31666666666666665,72480,1562,0.02155077262693157,0,0.05822666296666666,448.28125
red2,2,confirm,0,pfft,2048,0,0.25,3,10,10,2,7,60,2,1208,20,0.3333333333333333,72480,1558,0.021495584988962473,0,0.07353730433333333,471.875
red2,2,confirm,0,pfft,1024,64,0.5,5,10,10,0,6,60,5,3656,0,0.0,219360,43723,0.19932075127644056,0,0.08918707168333334,0.0
red2,2,confirm,0,pfft,1024,64,0.5,5,10,10,0,7,60,5,3656,0,0.0,219360,43416,0.19792122538293216,0,0.09616488866666666,0.0
red2,3,confirm,0,pfft,2048,128,0.25,5,8,10,2,6,60,2,1412,23,0.38333333333333336,84720,161,0.001900377714825307,0,0.07594731621666667,615.0757575757576
red2,3,confirm,0,pfft,2048,128,0.25,5,8,10,2,7,60,2,1412,25,0.4166666666666667,84720,157,0.0018531633616619453,0,0.06785143538333333,668.5606060606061
red2,3,confirm,0,pfft,2048,128,0.25,5,8,10,0,6,60,2,1412,23,0.38333333333333336,84720,161,0.001900377714825307,0,0.06423795541666666,615.0757575757576
red2,3,confirm,0,pfft,2048,128,0.25,5,8,10,0,7,60,2,1412,25,0.4166666666666667,84720,157,0.0018531633616619453,0,0.0746142064,668.5606060606061
red2,3,confirm,0,pfft,2048,0,0.25,5,5,10,4,6,60,4,2595,16,0.26666666666666666,155700,159,0.001021194605009634,0,0.1287101517833333,540.625
