channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red4,1,screen,3,pfft,2048,0,0.5,5,10,8,1,5,20,1,1452,7,0.35,29040,2299,0.07916666666666666,0,0.052533989749999996,794.0625
red4,1,screen,2,pfft,2048,32,0.25,4,10,10,4,5,20,4,2734,8,0.4,54680,45,0.0008229700073152889,0,0.11434628024999997,845.5670103092783
red4,1,screen,1,pfft,2048,16,0.25,10,10,10,0,5,20,2,1640,8,0.4,32800,19,0.0005792682926829268,0,0.16305803270000002,765.7587548638132
red4,1,screen,2,pfft,512,0,0.25,3,8,10,4,5,20,4,572,9,0.45,11440,28,0.0024475524475524478,0,0.04655068665,402.1875
red4,1,screen,1,pfft,2048,16,0.25,3,5,10,0,5,20,2,1072,13,0.65,21440,10,0.0004664179104477612,0,0.09056329065,813.3852140077821
red4,1,screen,2,pfft,2048,32,0.25,10,8,10,4,5,20,4,3204,6,0.3,64080,23,0.0003589263420724095,0,0.16221064219999998,743.1958762886597
red4,1,screen,1,pfft,2048,0,0.25,8,10,10,2,5,20,2,1589,12,0.6,31780,11,0.0003461296412838263,0,0.1093772768,1117.265625
red4,1,screen,3,pfft,2048,16,0.5,5,8,8,2,5,20,2,2840,8,0.4,56800,4226,0.07440140845070423,0,0.0786510699,1326.070038910506
red4,1,screen,1,pfft,2048,16,0.25,8,8,6,0,5,20,2,1545,1,0.05,30900,168,0.005436893203883495,0,0.1039664834,90.1750972762646
red4,1,screen,2,pfft,2048,0,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,3656,0.05885383129426916,0,0.09318892945,0.0
red4,1,screen,2,pfft,2048,32,0.25,5,10,10,4,5,20,4,2921,13,0.65,58420,14,0.00023964395754878467,0,0.16341869209999998,1468.028350515464
red4,1,screen,1,pfft,512,128,0.5,5,10,10,0,5,20,8,2921,0,0.0,58420,13024,0.22293735022252653,0,0.11608306445000001,0.0
red4,1,screen,3,pfft,2048,16,0.5,8,10,8,0,5,20,2,3195,2,0.1,63900,7559,0.11829420970266041,0,0.0731764095,372.9571984435798
red4,1,screen,1,pfft,2048,0,0.25,5,8,4,2,5,20,2,1412,2,0.1,28240,319,0.011296033994334277,0,0.0673294431,165.46875
red4,1,screen,2,pfft,2048,128,0.25,3,8,10,4,5,20,4,2364,14,0.7,47280,15,0.00031725888324873094,0,0.14205844455,1241.1
red4,1,screen,3,pfft,1024,128,0.5,5,8,8,0,5,20,4,2840,2,0.1,56800,6981,0.1229049295774648,0,0.08486196355,313.2352941176471
red4,1,screen,3,pfft,2048,0,0.125,3,3,8,1,5,20,1,210,18,0.9,4200,3,0.0007142857142857143,0,0.045107142499999996,295.3125
red4,1,screen,3,pfft,512,16,0.5,5,8,8,0,5,20,10,3554,0,0.0,71080,14401,0.20260270118176701,0,0.06634488515,0.0
red4,1,screen,1,pfft,2048,0,0.25,4,10,10,2,5,20,2,1359,12,0.6,27180,15,0.0005518763796909492,0,0.07972906775,955.546875
red4,1,screen,1,pfft,2048,0,0.25,10,8,10,2,5,20,2,1594,11,0.55,31880,15,0.00047051442910915934,0,0.07319884625,1027.3828125
red4,1,screen,2,pfft,2048,64,0.25,3,8,2,0,5,20,2,1174,0,0.0,23480,1373,0.05847529812606474,0,0.06188909494999999,0.0
red4,1,screen,1,pfft,512,128,0.25,8,8,10,2,5,20,2,369,0,0.0,7380,2442,0.3308943089430894,0,0.04685531365,0.0
red4,1,screen,1,pfft,2048,64,0.5,5,10,10,0,5,20,2,2921,6,0.3,58420,6104,0.10448476549127012,0,0.10402997030000001,1011.1153846153846
red4,1,screen,2,pfft,1024,64,0.5,8,8,3,0,5,20,5,3869,0,0.0,77380,8176,0.10566037735849057,0,0.0972240051,0.0
red4,1,screen,2,pfft,2048,64,0.25,3,3,3,0,5,20,2,890,0,0.0,17800,483,0.027134831460674157,0,0.07225142424999999,0.0
red4,1,screen,3,pfft,2048,16,0.5,4,10,8,0,5,20,2,2734,6,0.3,54680,5905,0.1079919531821507,0,0.0837986406,957.431906614786
red4,1,screen,1,pfft,2048,16,0.25,8,8,3,0,5,20,2,1545,0,0.0,30900,1230,0.039805825242718446,0,0.08992359540000001,0.0
red4,1,screen,2,pfft,2048,64,0.25,10,10,3,0,5,20,2,1640,0,0.0,32800,1467,0.04472560975609756,0,0.05820579569999999,0.0
red4,1,screen,1,pfft,2048,0,0.25,5,10,10,2,5,20,2,1452,15,0.75,29040,6,0.00020661157024793388,0,0.07896228575,1276.171875
red4,1,screen,2,pfft,2048,64,0.25,3,5,3,0,5,20,2,1072,0,0.0,21440,598,0.02789179104477612,0,0.0811363689,0.0
red4,1,screen,3,pfft,2048,16,0.5,10,8,8,0,5,20,2,3204,1,0.05,64080,7091,0.1106585518102372,0,0.06177401284999999,187.00389105058366
red4,1,screen,3,pfft,1024,64,0.125,3,3,8,1,5,20,1,97,18,0.9,1940,2,0.0010309278350515464,0,0.024317965100000002,161.66666666666666
red4,1,screen,1,pfft,1024,32,0.5,5,10,10,0,5,20,5,3656,2,0.1,73120,10427,0.1426012035010941,0,0.09885448529999999,374.3344709897611
red4,1,screen,1,pfft,2048,16,0.25,8,8,8,0,5,20,2,1545,5,0.25,30900,62,0.002006472491909385,0,0.1097911448,450.87548638132296
red4,1,screen,1,pfft,2048,16,0.25,3,4,10,0,5,20,2,1004,14,0.7,20080,6,0.000298804780876494,0,0.06713342785,820.3891050583658
red4,1,screen,3,pfft,2048,16,0.0625,5,8,8,0,5,20,2,341,15,0.75,6820,6,0.0008797653958944282,0,0.054474207,298.5408560311284
red4,1,screen,1,pfft,2048,64,0.25,8,8,10,2,5,20,2,1545,10,0.5,30900,18,0.0005825242718446602,0,0.09136874175000001,891.3461538461539
red4,1,screen,3,pfft,2048,0,0.5,3,3,8,1,5,20,1,890,10,0.5,17800,1534,0.08617977528089887,0,0.057454446699999995,695.3125
red4,1,screen,3,pfft,2048,16,0.5,5,10,8,0,5,20,2,2921,5,0.25,58420,4992,0.08545018829168093,0,0.07443623565,852.431906614786
red4,1,screen,2,pfft,512,0,0.5,8,8,3,0,5,20,10,3834,0,0.0,76680,24004,0.3130412102243088,0,0.08360264079999999,0.0
red4,1,screen,2,pfft,2048,32,0.125,3,8,10,4,5,20,4,1174,12,0.6,23480,8,0.00034071550255536625,0,0.1186060721,544.639175257732
red4,1,screen,1,pfft,2048,0,0.25,5,8,2,2,5,20,2,1412,0,0.0,28240,1126,0.039872521246458924,0,0.07058726565,0.0
red4,1,screen,3,pfft,2048,0,0.5,5,8,8,0,5,20,2,2840,7,0.35,56800,3987,0.07019366197183098,0,0.07223157499999999,1164.84375
red4,1,screen,3,pfft,2048,0,0.5,10,10,8,1,5,20,1,1640,1,0.05,32800,4614,0.14067073170731706,0,0.0417854062,128.125
red4,1,screen,3,pfft,2048,0,0.5,3,5,8,1,5,20,1,1072,9,0.45,21440,2006,0.0935634328358209,0,0.053727177800000005,753.75
red4,1,screen,1,pfft,1024,32,0.25,8,8,10,2,5,20,2,761,4,0.2,15220,118,0.007752956636005256,0,0.07266882575,235.36082474226805
red4,1,screen,2,pfft,512,128,0.25,3,8,10,4,5,20,4,572,8,0.4,11440,25,0.0021853146853146855,0,0.0479759099,330.0
red4,1,screen,3,pfft,512,0,0.125,3,3,8,1,5,20,1,40,18,0.9,800,2,0.0025,0,0.022549688599999996,75.0
red4,1,screen,1,pfft,2048,16,0.25,8,8,10,1,5,20,1,764,11,0.55,15280,60,0.003926701570680628,0,0.1014193319,654.8571428571428
red4,1,screen,2,pfft,2048,32,0.25,5,10,4,4,5,20,4,2921,0,0.0,58420,617,0.010561451557685723,0,0.1418420523,0.0
red4,1,screen,2,pfft,2048,32,0.25,3,3,10,4,5,20,4,1797,14,0.7,35940,6,0.0001669449081803005,0,0.11623337854999997,972.6030927835052
red4,1,screen,2,pfft,2048,128,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,3386,0.05450740502253702,0,0.07643017384999999,0.0
red4,1,screen,2,pfft,2048,32,0.25,10,10,10,4,5,20,4,3296,5,0.25,65920,27,0.0004095873786407767,0,0.16633198215,637.1134020618557
red4,1,screen,1,pfft,512,64,0.5,5,10,10,0,5,20,9,3288,0,0.0,65760,14385,0.21875,0,0.08957755005,0.0
red4,1,screen,2,pfft,2048,32,0.25,3,5,10,4,5,20,4,2160,14,0.7,43200,8,0.00018518518518518518,0,0.13383555405,1169.0721649484535
red4,1,screen,3,pfft,2048,0,0.5,5,8,10,1,5,20,1,1412,5,0.25,28240,2860,0.10127478753541076,0,0.053471546,551.5625
red4,1,screen,1,pfft,2048,16,0.25,8,3,10,0,5,20,2,1173,11,0.55,23460,13,0.0005541346973572037,0,0.11547049185,753.0933852140078
red4,1,screen,1,pfft,2048,0,0.25,5,8,10,4,5,20,4,2840,13,0.65,56800,13,0.00022887323943661972,0,0.12970158345,1442.1875
red4,1,screen,2,pfft,2048,64,0.25,3,8,10,4,5,20,4,2364,13,0.65,47280,10,0.00021150592216582064,0,0.11127671155,1175.9693877551022
red4,1,screen,3,pfft,1024,64,0.5,5,8,8,0,5,20,5,3554,2,0.1,71080,8004,0.11260551491277433,0,0.08723013045,357.7852348993288
red4,1,screen,3,pfft,2048,128,0.125,3,3,8,1,5,20,1,210,12,0.6,4200,20,0.004761904761904762,0,0.0650065027,192.85714285714286
