channel,lane,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,mean_effective_rate_bps,min_effective_rate_bps,mean_psr,ber,decode_seconds
red1,1,pfft,2048,32,0.25,3,10,10,4,1143.9175257731958,1096.9072164948454,0.6083333333333334,0.0003769188596491228,0.11212547440833334
red1,1,pfft,2048,32,0.25,3,8,10,4,913.917525773196,913.917525773196,0.5,0.00043358714043993234,0.11488367702499999
red1,1,pfft,2048,128,0.25,5,10,10,4,821.53125,803.275,0.375,0.0006875499258244893,0.13090151485
red1,1,pfft,1024,16,0.5,5,10,10,0,0.0,0.0,0.0,0.1892482676878191,0.10058738809166667
red1,2,pfft,2048,32,0.25,3,8,10,4,1081.4690721649486,1005.3092783505156,0.5916666666666667,0.0002820078962210942,0.12214336430833334
red1,2,pfft,2048,32,0.25,3,4,10,4,1043.298969072165,1017.2164948453609,0.6666666666666667,0.0003211462450592885,0.11566794535
red1,2,pfft,2048,32,0.25,5,5,10,4,1003.2216494845361,1003.2216494845361,0.5,0.0005427103403982017,0.12728576901666666
red1,2,pfft,1024,16,0.5,5,10,10,0,0.0,0.0,0.0,0.18846416849015318,0.09851838685833335
red1,3,pfft,2048,128,0.5,5,5,10,4,2472.8500000000004,2407.775,0.6333333333333333,0.028143808426174928,0.07051899939166667
red1,3,pfft,2048,64,0.5,5,5,10,4,2324.1071428571427,2191.301020408163,0.5833333333333334,0.030093481879882186,0.05765922675
red1,3,pfft,2048,16,0.5,5,8,10,4,2250.362694300518,2139.689119170984,0.5083333333333333,0.0428531718164794,0.06199431483333333
red1,3,pfft,1024,16,0.5,5,10,10,0,31.46299483648881,0.0,0.008333333333333333,0.12310813274981765,0.03849518754166667
red2,1,pfft,2048,0,0.25,3,5,10,2,282.65625,272.1875,0.225,0.020949937810945275,0.06577592175833333
red2,1,pfft,2048,0,0.25,3,5,10,0,282.65625,272.1875,0.225,0.020949937810945275,0.06929432365833332
red2,1,pfft,2048,32,0.25,5,8,10,2,259.9612403100775,191.5503875968992,0.15833333333333333,0.0068401794145420206,0.06624482666666667
red2,1,pfft,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.22661834427425237,0.09248770665833334
red2,2,pfft,1024,32,0.25,3,10,10,2,468.5051546391753,430.1030927835052,0.5083333333333333,0.006026286353467561,0.044275411641666665
red2,2,pfft,2048,0,0.25,3,10,10,2,460.078125,448.28125,0.32499999999999996,0.02152317880794702,0.06588198365
red2,2,pfft,2048,0,0.25,5,5,10,1,422.34375,380.9375,0.42500000000000004,0.0057389937106918235,0.040397958224999996
red2,2,pfft,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.19862098832968636,0.092675980175
red2,3,pfft,2048,0,0.25,5,5,10,4,658.88671875,540.625,0.325,0.0010468850353243418,0.10964380626666667
red2,3,pfft,2048,128,0.25,5,8,10,0,641.8181818181819,615.0757575757576,0.4,0.0018767705382436261,0.06942608090833333
red2,3,pfft,2048,128,0.25,5,8,10,2,641.8181818181819,615.0757575757576,0.4,0.0018767705382436261,0.0718993758
red2,3,pfft,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.18041575492341358,0.067121960525
red3,1,pfft,2048,32,0.125,5,8,10,0,297.5968992248062,270.5426356589147,0.3666666666666667,0.0025549188156638015,0.06174200130833335
red3,1,pfft,2048,32,0.25,3,5,10,2,259.6899224806201,228.52713178294573,0.20833333333333331,0.009965796019900497,0.079580735925
red3,1,pfft,2048,32,0.25,3,5,10,0,259.6899224806201,228.52713178294573,0.20833333333333331,0.009965796019900497,0.08049974059166667
red3,1,pfft,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.21467450765864332,0.09342686225833333
red3,2,pfft,2048,128,0.25,5,10,10,0,935.0,907.5,0.5666666666666667,0.0009240128558310376,0.066437719875
red3,2,pfft,2048,128,0.25,5,5,10,2,817.8314393939395,781.2121212121212,0.5583333333333333,0.001021463666925265,0.07411216985833333
red3,2,pfft,2048,128,0.25,5,5,10,0,817.8314393939395,781.2121212121212,0.5583333333333333,0.001021463666925265,0.07632296483333334
red3,2,pfft,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.18166028446389496,0.09566491801666668
red3,3,pfft,2048,16,0.25,5,8,10,0,796.6536964980545,714.2412451361868,0.48333333333333334,0.0011744570349386213,0.06908618551666666
red3,3,pfft,2048,16,0.25,5,8,10,2,796.6536964980545,714.2412451361868,0.48333333333333334,0.0011744570349386213,0.07344247625
red3,3,pfft,2048,128,0.25,5,4,10,4,592.8,547.2,0.32499999999999996,0.0012541118421052632,0.13774684515833333
red3,3,pfft,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.19414660831509847,0.10611627253333333
red4,1,pfft,2048,32,0.25,5,10,10,4,1637.416237113402,1505.6701030927836,0.725,0.00015120392559625698,0.1321633890416667
red4,1,pfft,2048,0,0.25,5,8,10,0,1130.703125,1047.96875,0.6833333333333333,0.00034230406043437206,0.06867196868333333
red4,1,pfft,2048,0,0.25,5,8,10,2,1130.703125,1047.96875,0.6833333333333333,0.00034230406043437206,0.06875023500833333
red4,1,pfft,1024,16,0.5,5,10,10,0,188.77796901893288,188.77796901893288,0.05,0.15071115973741794,0.09395233905833333
red4,2,pfft,2048,16,0.25,5,5,10,4,1378.1735751295337,1344.5595854922278,0.6833333333333333,0.0001798330122029544,0.13020687990000002
red4,2,pfft,2048,16,0.25,5,10,10,4,1229.6955958549222,1097.2668393782383,0.5416666666666666,0.00028814332990984823,0.13322490648333332
