channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,63851,0.42499334398296057,0,0.6067977398666665,0.0
red1,1,0.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,63851,0.42499334398296057,0,0.14350143031666668,0.0
red1,1,0.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,62228,0.4141906283280085,0,0.09141647391666667,0.0
red1,1,0.0,pfft,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,64485,0.4292132587859425,0,0.10506206136666668,0.0
red1,1,0.0,profiled_cz,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,63851,0.42499334398296057,0,0.7737510522833335,0.0
red1,1,2.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,60344,0.4016506922257721,0,0.6037219643166666,0.0
red1,1,2.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,60344,0.4016506922257721,0,0.14912632059999995,0.0
red1,1,2.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,58116,0.3868210862619808,0,0.08741621561666665,0.0
red1,1,2.0,pfft,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,61182,0.40722843450479235,0,0.09846734916666669,0.0
red1,1,2.0,profiled_cz,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,60344,0.4016506922257721,0,0.8145805678833334,0.0
red1,1,4.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,55886,0.37197816826411073,0,0.5761582064666667,0.0
red1,1,4.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,55886,0.37197816826411073,0,0.1737096185833333,0.0
red1,1,4.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,53742,0.3577076677316294,0,0.09364315758333334,0.0
red1,1,4.0,pfft,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,57657,0.38376597444089455,0,0.09322159335000002,0.0
red1,1,4.0,profiled_cz,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,55886,0.37197816826411073,0,0.8390129535499999,0.0
red1,1,6.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,52461,0.34918130990415336,0,0.5838856356333332,0.0
red1,1,6.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,52461,0.34918130990415336,0,0.1524892891,0.0
red1,1,6.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,48697,0.32412806176783815,0,0.08957799886666666,0.0
red1,1,6.0,pfft,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,53770,0.35789403620873267,0,0.0873972852,0.0
red1,1,6.0,profiled_cz,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,52461,0.34918130990415336,0,0.8032459655166667,0.0
red1,1,8.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,48509,0.3228767305644302,0,0.6558543355166667,0.0
red1,1,8.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,48509,0.3228767305644302,0,0.15719195720000007,0.0
red1,1,8.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,43970,0.29266506922257723,0,0.09815741128333334,0.0
red1,1,8.0,pfft,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,50487,0.3360423322683706,0,0.10961457814999997,0.0
red1,1,8.0,profiled_cz,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,48509,0.3228767305644302,0,0.8544105816666666,0.0
red1,1,10.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,44716,0.2976304579339723,0,0.6228194309833335,0.0
red1,1,10.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,44716,0.2976304579339723,0,0.15044513636666665,0.0
red1,1,10.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,39111,0.26032348242811504,0,0.09608876876666665,0.0
red1,1,10.0,pfft,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,47106,0.31353833865814695,0,0.09586045948333337,0.0
red1,1,10.0,profiled_cz,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,44716,0.2976304579339723,0,0.8609354176499999,0.0
red1,1,12.0,cwz_joint,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,41206,0.2742678381256656,0,0.6332357848000001,0.0
red1,1,12.0,lite,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,41206,0.2742678381256656,0,0.1596647656,0.0
red1,1,12.0,ofdm_fec,4,60,max-rate,512,16,0.5,3,4,10,0,2504,1,0.016666666666666666,150240,33863,0.22539270500532482,0,0.09268251126666667,42.73037542662116
