channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,64219,0.4274427582534611,0,0.7373950910833333,0.0
red1,1,2.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,61391,0.4086195420660277,0,0.7235707167833335,0.0
red1,1,4.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,57212,0.38080404685835995,0,0.7257622102166666,0.0
red1,1,6.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,53999,0.3594182641107561,0,0.7626167000000001,0.0
red1,1,8.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,50084,0.33335995740149094,0,0.7484120315499999,0.0
red1,1,10.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,46727,0.311015708200213,0,0.7441893707000002,0.0
red1,1,12.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,43343,0.28849174653887116,0,0.8081742541499999,0.0
red1,1,14.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,0,0.0,150240,40087,0.26681975505857297,0,0.7800567685166666,0.0
red1,1,16.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,1,0.016666666666666666,150240,35746,0.23792598509052182,0,0.7430267892833335,42.73037542662116
red1,1,18.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,5,0.08333333333333333,150240,32467,0.21610090521831735,0,0.7291487528166668,213.65187713310578
red1,1,20.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,7,0.11666666666666667,150240,27812,0.1851171458998935,0,0.7001959013499999,299.1126279863481
red1,1,22.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,12,0.2,150240,25327,0.1685769435569755,0,0.6853800805166668,512.7645051194539
red1,1,24.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,13,0.21666666666666667,150240,23077,0.15360090521831735,0,0.6748366967333335,555.494880546075
red1,1,26.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,14,0.23333333333333334,150240,21944,0.14605963791267307,0,0.69544655105,598.2252559726962
red1,1,28.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,16,0.26666666666666666,150240,21067,0.14022231096911608,0,0.6659238183166668,683.6860068259385
red1,1,30.0,cz_standalone,4,60,max-rate,512,16,0.5,3,4,10,0,2504,17,0.2833333333333333,150240,20765,0.1382121938232162,0,0.6541822163833332,726.4163822525597
