channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,63792,0.43717105263157896,0,0.7747543447,0.0
red1,1,2.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,59796,0.4097861842105263,0,0.7443379683,0.0
red1,1,4.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,55057,0.3773094846491228,0,0.7345775124166667,0.0
red1,1,6.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,46907,0.32145696271929824,0,0.7401130029499998,0.0
red1,1,8.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,34365,0.23550575657894737,0,0.7672892477166666,0.0
red1,1,10.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,14229,0.09751233552631579,0,0.7095867530499999,0.0
red1,1,12.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,2,0.03333333333333333,145920,4664,0.031962719298245616,0,0.6210606216166666,62.680412371134025
red1,1,14.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,10,0.16666666666666666,145920,1998,0.013692434210526315,0,0.5810349452500001,313.4020618556701
red1,1,16.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,24,0.4,145920,1283,0.00879248903508772,0,0.5997850581,752.1649484536083
red1,1,18.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,42,0.7,145920,33,0.00022615131578947368,0,0.6081104119833333,1316.2886597938145
red1,1,20.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,51,0.85,145920,11,7.538377192982457e-5,0,0.589296227316667,1598.3505154639176
red1,1,22.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,55,0.9166666666666666,145920,7,4.7971491228070175e-5,0,0.5821046893166668,1723.7113402061857
red1,1,24.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,59,0.9833333333333333,145920,1,6.853070175438597e-6,0,0.5596335296500001,1849.0721649484537
red1,1,26.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,59,0.9833333333333333,145920,1,6.853070175438597e-6,0,0.5447496266666666,1849.0721649484537
red1,1,28.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,60,1.0,145920,0,0.0,0,0.59563796315,1880.4123711340208
red1,1,30.0,cwz_joint,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,60,1.0,145920,0,0.0,0,0.5797026709333333,1880.4123711340208
