channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,0.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,64466,0.4417900219298246,0,1.2388762964666666,0.0
red1,1,2.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,60690,0.4159128289473684,0,1.2350502648333335,0.0
red1,1,4.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,56110,0.38452576754385964,0,1.2272897800333336,0.0
red1,1,6.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,48323,0.3311609100877193,0,1.1827219330500003,0.0
red1,1,8.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,35421,0.24274259868421053,0,1.2005117244000005,0.0
red1,1,10.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,0,0.0,145920,14571,0.0998560855263158,0,1.1755909808166662,0.0
red1,1,12.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,2,0.03333333333333333,145920,4751,0.03255893640350877,0,1.1050408427499998,62.680412371134025
red1,1,14.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,10,0.16666666666666666,145920,2004,0.013733552631578947,0,1.0055006139,313.4020618556701
red1,1,16.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,24,0.4,145920,1300,0.008908991228070175,0,0.9158675430333335,752.1649484536083
red1,1,18.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,42,0.7,145920,33,0.00022615131578947368,0,0.8953239732666668,1316.2886597938145
red1,1,20.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,51,0.85,145920,11,7.538377192982457e-5,0,0.9204685112333332,1598.3505154639176
red1,1,22.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,55,0.9166666666666666,145920,7,4.7971491228070175e-5,0,0.8578248256666665,1723.7113402061857
red1,1,24.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,59,0.9833333333333333,145920,1,6.853070175438597e-6,0,0.8512138831166667,1849.0721649484537
red1,1,26.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,59,0.9833333333333333,145920,1,6.853070175438597e-6,0,0.8992776910666667,1849.0721649484537
red1,1,28.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,60,1.0,145920,0,0.0,0,0.9326699089666665,1880.4123711340208
red1,1,30.0,cz_standalone,4,60,min-BER,2048,32,0.25,3,10,10,4,2432,60,1.0,145920,0,0.0,0,0.9578415308833332,1880.4123711340208
