channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red3,1,0.0,cwz_joint,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,13980,0.333810888252149,0,0.3065481462,0.0
red3,1,0.0,lite,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,14012,0.33457497612225406,0,0.09600882529999998,0.0
red3,1,0.0,ofdm_fec,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,16398,0.39154727793696276,0,0.07470403271666667,0.0
red3,1,0.0,pfft,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,14107,0.33684336198662845,0,0.06846012771666668,0.0
red3,1,0.0,profiled_cz,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,13990,0.3340496657115568,0,0.4723685539833334,0.0
red3,1,2.0,cwz_joint,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,11213,0.26774116523400193,0,0.32421231711666665,0.0
red3,1,2.0,lite,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,11344,0.2708691499522445,0,0.09431558875,0.0
red3,1,2.0,ofdm_fec,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,14480,0.3457497612225406,0,0.06655331515,0.0
red3,1,2.0,pfft,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,11724,0.2799426934097421,0,0.06110956875,0.0
red3,1,2.0,profiled_cz,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,11216,0.26781279847182426,0,0.48677978771666675,0.0
red3,1,4.0,cwz_joint,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,8079,0.1929083094555874,0,0.2915710392666666,0.0
red3,1,4.0,lite,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,8188,0.19551098376313275,0,0.10341895125000002,0.0
red3,1,4.0,ofdm_fec,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,12409,0.2962989493791786,0,0.06184718305000001,0.0
red3,1,4.0,pfft,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,8981,0.21444603629417383,0,0.06660972938333333,0.0
red3,1,4.0,profiled_cz,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,8080,0.1929321872015282,0,0.4937990783833335,0.0
red3,1,6.0,cwz_joint,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,5050,0.12058261700095511,0,0.30762857936666677,0.0
red3,1,6.0,lite,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,4928,0.11766953199617956,0,0.09938954395000002,0.0
red3,1,6.0,ofdm_fec,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,10023,0.23932664756446992,0,0.06594553711666667,0.0
red3,1,6.0,pfft,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,6191,0.14782712511938872,0,0.060085127866666664,0.0
red3,1,6.0,profiled_cz,4,60,min-BER,2048,32,0.125,5,8,10,0,698,0,0.0,41880,5051,0.12060649474689589,0,0.46893643339999996,0.0
