workload_id,snr_db,frame,algorithm_id,bit_errors,success,decode_failure,decoder_valid,crc_valid,baseline_valid,accepted_update,selection_reason,selected_iteration,lite_syndrome,gradient_syndrome,lite_score,gradient_score,selected_mean_abs_lpost
red3:lane2:snr0.0:seed4:frame1,0.0,1,cwz_joint,599,false,false,true,missing,false,true,gradient_only,8,2124,0,2.2613211545955205,36.199299354444896,missing
red3:lane2:snr0.0:seed4:frame2,0.0,2,cwz_joint,634,false,false,true,missing,false,true,gradient_only,8,2092,0,2.8034705713778876,150.45488402085948,missing
red3:lane2:snr0.0:seed4:frame3,0.0,3,cwz_joint,580,false,false,true,missing,false,true,gradient_only,8,2081,0,2.993899197778102,98.09544560232246,missing
red3:lane2:snr0.0:seed4:frame4,0.0,4,cwz_joint,563,false,false,true,missing,false,true,gradient_only,8,2010,0,1.4049056146393055,34.287569206903726,missing
red3:lane2:snr0.0:seed4:frame5,0.0,5,cwz_joint,601,false,false,true,missing,false,true,gradient_only,8,2021,0,2.1531981725394695,128.92774494217906,missing
red3:lane2:snr0.0:seed4:frame6,0.0,6,cwz_joint,607,false,false,true,missing,false,true,gradient_only,8,1917,0,1.0776231099840057,47.91422986228053,missing
red3:lane2:snr0.0:seed4:frame7,0.0,7,cwz_joint,579,false,false,true,missing,false,true,gradient_only,8,2014,0,1.4859258521476495,55.9296726488552,missing
red3:lane2:snr0.0:seed4:frame8,0.0,8,cwz_joint,586,false,false,true,missing,false,true,gradient_only,8,2052,0,1.0935164336289585,42.3187006432083,missing
red3:lane2:snr0.0:seed4:frame9,0.0,9,cwz_joint,579,false,false,true,missing,false,true,gradient_only,8,2123,0,1.214367327498127,33.15424552840624,missing
red3:lane2:snr0.0:seed4:frame10,0.0,10,cwz_joint,587,false,false,true,missing,false,true,gradient_only,8,2043,0,5.859392258318697,47.833864335726076,missing
red3:lane2:snr0.0:seed4:frame11,0.0,11,cwz_joint,634,false,false,true,missing,false,true,gradient_only,8,2051,0,3.648768871749059,106.70820061092117,missing
red3:lane2:snr0.0:seed4:frame12,0.0,12,cwz_joint,586,false,false,true,missing,false,true,gradient_only,8,1983,0,1.387538773636987,88.31780377274636,missing
red3:lane2:snr0.0:seed4:frame13,0.0,13,cwz_joint,551,false,false,true,missing,false,true,gradient_only,8,2028,0,2.2225678175395513,46.5060319760866,missing
red3:lane2:snr0.0:seed4:frame14,0.0,14,cwz_joint,605,false,false,true,missing,false,true,gradient_only,8,2057,0,3.6662720321562623,204.99519709394292,missing
red3:lane2:snr0.0:seed4:frame15,0.0,15,cwz_joint,639,false,false,true,missing,false,true,gradient_only,8,2019,0,2.9611046174760745,51.905430697336534,missing
red3:lane2:snr0.0:seed4:frame16,0.0,16,cwz_joint,568,false,false,true,missing,false,true,gradient_only,8,2050,0,1.852732187535177,62.09168541948739,missing
red3:lane2:snr0.0:seed4:frame17,0.0,17,cwz_joint,551,false,false,true,missing,false,true,gradient_only,8,1989,0,1.463606748860223,71.83344199908457,missing
red3:lane2:snr0.0:seed4:frame18,0.0,18,cwz_joint,661,false,false,true,missing,false,true,gradient_only,8,2064,0,2.519307997944627,84.42968983618316,missing
red3:lane2:snr0.0:seed4:frame19,0.0,19,cwz_joint,606,false,false,true,missing,false,true,gradient_only,8,2074,0,2.5668619279336475,65.29244051623463,missing
red3:lane2:snr0.0:seed4:frame20,0.0,20,cwz_joint,596,false,false,true,missing,false,true,gradient_only,8,2111,0,8.335087216366325,111.67521904598848,missing
red3:lane2:snr0.0:seed4:frame21,0.0,21,cwz_joint,596,false,false,true,missing,false,true,gradient_only,8,1983,0,2.055490419421948,51.532999684306766,missing
red3:lane2:snr0.0:seed4:frame22,0.0,22,cwz_joint,596,false,false,true,missing,false,true,gradient_only,8,2021,0,1.365928924711114,44.092228760926005,missing
red3:lane2:snr0.0:seed4:frame23,0.0,23,cwz_joint,647,false,false,true,missing,false,true,gradient_only,8,2085,0,2.02786512890513,87.19156065773892,missing
red3:lane2:snr0.0:seed4:frame24,0.0,24,cwz_joint,590,false,false,true,missing,false,true,gradient_only,8,2115,0,3.958856924478232,75.6483473314977,missing
red3:lane2:snr0.0:seed4:frame25,0.0,25,cwz_joint,560,false,false,true,missing,false,true,gradient_only,8,2030,0,1.6556715176000572,28.57763046831144,missing
red3:lane2:snr0.0:seed4:frame26,0.0,26,cwz_joint,637,false,false,true,missing,false,true,gradient_only,8,2080,0,2.793582947316302,102.14041663955717,missing
red3:lane2:snr0.0:seed4:frame27,0.0,27,cwz_joint,602,false,false,true,missing,false,true,gradient_only,8,2080,0,2.108338712207539,25.243020218744775,missing
red3:lane2:snr0.0:seed4:frame28,0.0,28,cwz_joint,588,false,false,true,missing,false,true,gradient_only,7,2079,0,2.017596375402438,32.42851227505178,missing
red3:lane2:snr0.0:seed4:frame29,0.0,29,cwz_joint,624,false,false,true,missing,false,true,gradient_only,8,2061,0,0.9816668565211035,30.57526937293387,missing
red3:lane2:snr0.0:seed4:frame30,0.0,30,cwz_joint,621,false,false,true,missing,false,true,gradient_only,8,2008,0,2.388986303898269,69.13684838757004,missing
red3:lane2:snr0.0:seed4:frame31,0.0,31,cwz_joint,661,false,false,true,missing,false,true,gradient_only,8,2013,0,2.124050908131199,112.45332672100352,missing
red3:lane2:snr0.0:seed4:frame32,0.0,32,cwz_joint,627,false,false,true,missing,false,true,gradient_only,8,2082,0,1.9919821557555475,240.1260772056272,missing
red3:lane2:snr0.0:seed4:frame33,0.0,33,cwz_joint,641,false,false,true,missing,false,true,gradient_only,8,2046,0,1.6593116176097022,72.83610518399959,missing
red3:lane2:snr0.0:seed4:frame34,0.0,34,cwz_joint,551,false,false,true,missing,false,true,gradient_only,8,2044,0,1.4476911970224677,27.73244233446406,missing
red3:lane2:snr0.0:seed4:frame35,0.0,35,cwz_joint,629,false,false,true,missing,false,true,gradient_only,8,2039,0,2.118217083091528,86.62344048291415,missing
red3:lane2:snr0.0:seed4:frame36,0.0,36,cwz_joint,561,false,false,true,missing,false,true,gradient_only,8,1999,0,2.125540479815095,20.59814859483855,missing
red3:lane2:snr0.0:seed4:frame37,0.0,37,cwz_joint,594,false,false,true,missing,false,true,gradient_only,8,2118,0,4.643745801885493,67.63401685984961,missing
red3:lane2:snr0.0:seed4:frame38,0.0,38,cwz_joint,649,false,false,true,missing,false,true,gradient_only,8,1927,0,1.3721122147306923,41.5260135662576,missing
