workload_id,snr_db,frame,algorithm_id,bit_errors,success,decode_failure,decoder_valid,crc_valid,baseline_valid,accepted_update,selection_reason,selected_iteration,lite_syndrome,gradient_syndrome,lite_score,gradient_score,selected_mean_abs_lpost
red4:lane1:snr0.0:seed4:frame1,0.0,1,cwz_joint,506,false,false,true,missing,false,true,gradient_only,8,2384,0,1.518922990173701,166.4182558795144,missing
red4:lane1:snr0.0:seed4:frame2,0.0,2,cwz_joint,473,false,false,true,missing,false,true,gradient_only,8,2299,0,1.3097928208003673,122.99717646844006,missing
red4:lane1:snr0.0:seed4:frame3,0.0,3,cwz_joint,554,false,false,true,missing,false,true,gradient_only,8,2263,0,1.6078618667594013,121.69271030018967,missing
red4:lane1:snr0.0:seed4:frame4,0.0,4,cwz_joint,495,false,false,true,missing,false,true,gradient_only,8,2297,0,1.4090026970521448,189.42763383156623,missing
red4:lane1:snr0.0:seed4:frame5,0.0,5,cwz_joint,493,false,false,false,missing,false,true,gradient_only,8,2292,9,0.9482073111174328,97.2264118739375,missing
red4:lane1:snr0.0:seed4:frame6,0.0,6,cwz_joint,486,false,false,true,missing,false,true,gradient_only,8,2284,0,1.3010600177874565,143.82521628876265,missing
red4:lane1:snr0.0:seed4:frame7,0.0,7,cwz_joint,497,false,false,true,missing,false,true,gradient_only,8,2259,0,2.36268051023431,203.60350558461954,missing
red4:lane1:snr0.0:seed4:frame8,0.0,8,cwz_joint,511,false,false,true,missing,false,true,gradient_only,8,2299,0,0.9450568037799185,150.79946281887473,missing
red4:lane1:snr0.0:seed4:frame9,0.0,9,cwz_joint,502,false,false,true,missing,false,true,gradient_only,8,2273,0,2.054908235172512,137.18164171550038,missing
red4:lane1:snr0.0:seed4:frame10,0.0,10,cwz_joint,526,false,false,true,missing,false,true,gradient_only,8,2253,0,2.6313603023932126,112.25771107495584,missing
red4:lane1:snr0.0:seed4:frame11,0.0,11,cwz_joint,570,false,false,true,missing,false,true,gradient_only,8,2199,0,1.281789210829193,192.21761254000788,missing
