channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red2,2,0.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,30992,0.42759381898454746,0,0.18931622666666667,0.0
red2,2,0.0,lite,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,30974,0.42734547461368655,0,0.05576214166666665,0.0
red2,2,0.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,31445,0.43384381898454744,0,0.03867359666666667,0.0
red2,2,0.0,pfft,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,30828,0.42533112582781457,0,0.04337690333333333,0.0
red2,2,0.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,31254,0.43120860927152316,0,0.2822770533333333,0.0
red2,2,2.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,28955,0.3994895143487859,0,0.1899106566666667,0.0
red2,2,2.0,lite,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,29267,0.4037941501103753,0,0.05675869166666667,0.0
red2,2,2.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,29349,0.4049254966887417,0,0.040830416666666654,0.0
red2,2,2.0,pfft,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,29108,0.40160044150110374,0,0.04516327500000001,0.0
red2,2,2.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,29565,0.40790562913907286,0,0.265999015,0.0
red2,2,4.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,26210,0.36161699779249445,0,0.18791614333333334,0.0
red2,2,4.0,lite,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,26404,0.3642935982339956,0,0.059935475,0.0
red2,2,4.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,27114,0.3740894039735099,0,0.040879735,0.0
red2,2,4.0,pfft,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,26423,0.3645557395143488,0,0.04516589,0.0
red2,2,4.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,26707,0.3684740618101545,0,0.30661343,0.0
red2,2,6.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,22159,0.3057257174392936,0,0.19277189833333339,0.0
red2,2,6.0,lite,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,22813,0.3147488962472406,0,0.05655083,0.0
red2,2,6.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,24161,0.3333471302428256,0,0.040932295,0.0
red2,2,6.0,pfft,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,23336,0.3219646799116998,0,0.039464655,0.0
red2,2,6.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,22783,0.3143349889624724,0,0.27851796666666667,0.0
red2,2,8.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,15849,0.21866721854304635,0,0.19517760000000003,0.0
red2,2,8.0,lite,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,17186,0.23711368653421633,0,0.057192979999999984,0.0
red2,2,8.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,19558,0.2698399558498896,0,0.047705261666666665,0.0
red2,2,8.0,pfft,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,19325,0.26662527593818985,0,0.039789565,0.0
red2,2,8.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,16251,0.2242135761589404,0,0.2928554933333334,0.0
red2,2,10.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,10,4,1208,0,0.0,72480,7417,0.10233167770419425,0,0.1769449083333333,0.0
