channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,2,0.0,cwz_joint,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,15396,0.3573816155988858,0,0.3129394014833334,0.0
red1,2,0.0,lite,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,15341,0.35610492107706593,0,0.09269308114999998,0.0
red1,2,0.0,ofdm_fec,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,15431,0.3581940575673166,0,0.07145236265,0.0
red1,2,0.0,pfft,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,15443,0.35847260909935,0,0.06426635026666669,0.0
red1,2,0.0,profiled_cz,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,15397,0.3574048282265552,0,0.4726258968166668,0.0
red1,2,2.0,cwz_joint,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,12655,0.29375580315691735,0,0.2989930849333333,0.0
red1,2,2.0,lite,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,12621,0.292966573816156,0,0.1020316872,0.0
red1,2,2.0,ofdm_fec,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,13278,0.30821727019498607,0,0.07983757763333331,0.0
red1,2,2.0,pfft,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,13200,0.3064066852367688,0,0.08014031273333334,0.0
red1,2,2.0,profiled_cz,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,12653,0.2937093779015785,0,0.41855476924999996,0.0
red1,2,4.0,cwz_joint,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,9501,0.2205431754874652,0,0.32235028744999994,0.0
red1,2,4.0,lite,4,60,configuration,1024,128,0.125,5,10,6,0,718,0,0.0,43080,9418,0.21861652739090065,0,0.09030480943333333,0.0
