channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red2,3,0.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,79314,0.43426412614980286,0,0.42083068833333337,0.0
red2,3,0.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,75059,0.410966929478756,0,0.10752730333333334,0.0
red2,3,0.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,74752,0.4092860271572492,0,0.06840918999999998,0.0
red2,3,0.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,74871,0.4099375821287779,0,0.067531445,0.0
red2,3,0.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,77130,0.42230617608409987,0,0.4216267783333334,0.0
red2,3,2.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,75546,0.4136333771353482,0,0.4260616950000001,0.0
red2,3,2.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,69969,0.38309789750328516,0,0.11044367166666666,0.0
red2,3,2.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,69956,0.38302671922908454,0,0.07161870833333334,0.0
red2,3,2.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,69732,0.38180026281208934,0,0.07026792666666667,0.0
red2,3,2.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,73118,0.40033946561541833,0,0.42100331499999993,0.0
red2,3,4.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,71591,0.39197875602277704,0,0.4204311416666666,0.0
red2,3,4.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,64700,0.3542487954445904,0,0.11680872,0.0
red2,3,4.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,64585,0.3536191414805081,0,0.06781446166666667,0.0
red2,3,4.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,64595,0.35367389399912397,0,0.06717693666666667,0.0
red2,3,4.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,68547,0.3753120893561104,0,0.4119528416666666,0.0
red2,3,6.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,68084,0.37277704774419623,0,0.4252026750000001,0.0
red2,3,6.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,59322,0.3248028909329829,0,0.10942177666666666,0.0
red2,3,6.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,59089,0.3235271572492335,0,0.06770501,0.0
red2,3,6.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,59323,0.3248083661848445,0,0.07257791500000003,0.0
red2,3,6.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,63898,0.34985764345159875,0,0.41304026666666666,0.0
red2,3,8.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,63410,0.347185720543145,0,0.41385155166666654,0.0
red2,3,8.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,53544,0.29316688567674115,0,0.10822371833333334,0.0
red2,3,8.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,53632,0.2936487078405607,0,0.06879412166666668,0.0
red2,3,8.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,53759,0.29434406482698205,0,0.07450663833333335,0.0
red2,3,8.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,59384,0.32514235654840123,0,0.41741818333333336,0.0
red2,3,10.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,60137,0.3292652212001752,0,0.41656650166666676,0.0
red2,3,10.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,48736,0.2668418747262374,0,0.10643828999999999,0.0
red2,3,10.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,48688,0.2665790626368813,0,0.07079917,0.0
red2,3,10.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,48926,0.2678821725799387,0,0.06996406166666667,0.0
red2,3,10.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,54943,0.30082676303109945,0,0.42595828499999994,0.0
red2,3,12.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,56852,0.3112790188348664,0,0.42764329833333325,0.0
red2,3,12.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,44536,0.24384581690757776,0,0.10894853999999997,0.0
red2,3,12.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,44433,0.24328186596583443,0,0.073643125,0.0
red2,3,12.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,44718,0.24484231274638632,0,0.07113667833333334,0.0
red2,3,12.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,51346,0.2811322820849759,0,0.43611489999999997,0.0
red2,3,14.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,53861,0.29490254051686376,0,0.41352318000000005,0.0
red2,3,14.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,40533,0.22192838370565046,0,0.11466058666666665,0.0
red2,3,14.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,40330,0.22081690757774858,0,0.07598733666666664,0.0
red2,3,14.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,40748,0.22310556285589137,0,0.07302011333333333,0.0
red2,3,14.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,47526,0.2602168199737188,0,0.40976427833333323,0.0
red2,3,16.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,51149,0.28005365746824357,0,0.46229354666666667,0.0
red2,3,16.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,37336,0.20442400350416118,0,0.11339182,0.0
red2,3,16.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,37142,0.20336180464301357,0,0.06914431166666665,0.0
red2,3,16.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,37322,0.204347349978099,0,0.07130861333333334,0.0
red2,3,16.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,43600,0.2387209811651336,0,0.450614505,0.0
red2,3,18.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,47813,0.2617882172579939,0,0.4155934733333334,0.0
red2,3,18.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,34037,0.18636114761279018,0,0.10595598666666663,0.0
red2,3,18.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,33743,0.18475142356548402,0,0.08107492833333334,0.0
red2,3,18.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,34279,0.1876861585632939,0,0.07815870666666666,0.0
red2,3,18.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,0,0.0,182640,39985,0.21892794568550153,0,0.4374849233333334,0.0
red2,3,20.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,1,0.016666666666666666,182640,44297,0.24253723171265879,0,0.42724561666666666,52.392426850258175
red2,3,20.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,1,0.016666666666666666,182640,31154,0.17057599649583882,0,0.11723302999999999,52.392426850258175
red2,3,20.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,2,0.03333333333333333,182640,31170,0.17066360052562418,0,0.07203133499999997,104.78485370051635
red2,3,20.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,1,0.016666666666666666,182640,31819,0.17421703898379326,0,0.07571880999999998,52.392426850258175
red2,3,20.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,1,0.016666666666666666,182640,36870,0.20187253613666228,0,0.4355192316666666,52.392426850258175
red2,3,22.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,5,0.08333333333333333,182640,40871,0.2237790188348664,0,0.4158081033333333,261.9621342512909
red2,3,22.0,lite,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,5,0.08333333333333333,182640,28763,0.15748466929478755,0,0.10531001500000002,261.9621342512909
red2,3,22.0,ofdm_fec,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,9,0.15,182640,27179,0.1488118703460359,0,0.080278895,471.5318416523236
red2,3,22.0,pfft,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,5,0.08333333333333333,182640,29249,0.16014564169951817,0,0.07982220833333332,261.9621342512909
red2,3,22.0,profiled_cz,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,5,0.08333333333333333,182640,33949,0.18587932544897065,0,0.40900691833333336,261.9621342512909
red2,3,24.0,cwz_joint,4,60,configuration,1024,16,0.5,3,10,12,0,1,16,3044,12,0.2,182640,36477,0.19972076215505913,0,0.3803882750000001,628.7091222030981
