channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red4,1,0.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,9551,0.36939201732673266,0,0.7390782290625,0.0,0.0,16.0,1537,307400
red4,1,0.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,10204,0.39464727722772275,0,0.2191851045,0.0,0.0,16.0,1537,307400
red4,1,0.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,9551,0.36939201732673266,0,0.1658347706875,0.0,0.0,16.0,1537,307400
red4,1,0.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,10160,0.39294554455445546,0,0.15673519837500002,0.0,0.0,16.0,1537,307400
red4,1,0.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,9551,0.36939201732673266,0,1.158307760125,0.0,0.0,16.0,1537,307400
red4,1,2.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,8474,0.32773824257425743,0,0.7733144740625,0.0,0.0,16.0,1537,307400
red4,1,2.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,9327,0.360728650990099,0,0.23592912350000003,0.0,0.0,16.0,1537,307400
red4,1,2.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,8474,0.32773824257425743,0,0.1504922303125,0.0,0.0,16.0,1537,307400
red4,1,2.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,9340,0.36123143564356436,0,0.164390089375,0.0,0.0,16.0,1537,307400
red4,1,2.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,8474,0.32773824257425743,0,1.081404286875,0.0,0.0,16.0,1537,307400
red4,1,4.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,6514,0.2519337871287129,0,0.8283412455000001,0.0,0.0,16.0,1537,307400
red4,1,4.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,8076,0.312345297029703,0,0.23508005487499997,0.0,0.0,16.0,1537,307400
red4,1,4.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,6514,0.2519337871287129,0,0.15161904293749998,0.0,0.0,16.0,1537,307400
red4,1,4.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,8261,0.3195003094059406,0,0.13936571762500002,0.0,0.0,16.0,1537,307400
red4,1,4.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,6514,0.2519337871287129,0,1.0372970361875,0.0,0.0,16.0,1537,307400
red4,1,6.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,1,0.0625,25856,1418,0.05484220297029703,0,0.7381280619374999,101.6778523489933,0.0,16.0,1537,307400
red4,1,6.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,5299,0.2049427599009901,0,0.24872079625000004,0.0,0.0,16.0,1537,307400
red4,1,6.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,1,0.0625,25856,1418,0.05484220297029703,0,0.131653114875,101.6778523489933,0.0,16.0,1537,307400
red4,1,6.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,6846,0.26477413366336633,0,0.1395822135,0.0,0.0,16.0,1537,307400
red4,1,6.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,1,0.0625,25856,1418,0.05484220297029703,0,1.0493799970625,101.6778523489933,0.0,16.0,1537,307400
red4,1,8.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,13,0.8125,25856,4,0.0001547029702970297,0,0.3748615551875001,1321.8120805369128,0.0,16.0,1537,307400
red4,1,8.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,11,0.6875,25856,6,0.00023205445544554454,0,0.22141429162499998,1118.4563758389263,0.0,16.0,1537,307400
red4,1,8.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,8,0.5,25856,12,0.0004641089108910891,0,0.10439370068750002,813.4228187919464,0.0,16.0,1537,307400
red4,1,8.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,0,0.0,25856,1592,0.06157178217821782,0,0.10496639812500001,0.0,0.0,16.0,1537,307400
red4,1,8.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,13,0.8125,25856,4,0.0001547029702970297,0,0.54549653725,1321.8120805369128,0.0,16.0,1537,307400
red4,1,10.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.18909391387500002,1626.8456375838928,0.0,16.0,1537,307400
red4,1,10.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,15,0.9375,25856,1,3.8675742574257426e-5,0,0.1985342249375,1525.1677852348994,0.0,16.0,1537,307400
red4,1,10.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,14,0.875,25856,2,7.735148514851485e-5,0,0.11253806281249998,1423.489932885906,0.0,16.0,1537,307400
red4,1,10.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,6,0.375,25856,20,0.0007735148514851486,0,0.11466032849999999,610.0671140939597,0.0,16.0,1537,307400
red4,1,10.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.250770542625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,12.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1268416961875,1626.8456375838928,0.0,16.0,1537,307400
red4,1,12.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.2306773415625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,12.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.11838536249999998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,12.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,11,0.6875,25856,5,0.00019337871287128714,0,0.14509547874999995,1118.4563758389263,0.0,16.0,1537,307400
red4,1,12.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.135985996125,1626.8456375838928,0.0,16.0,1537,307400
red4,1,14.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1315711004375,1626.8456375838928,0.0,16.0,1537,307400
red4,1,14.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.21583294231249997,1626.8456375838928,0.0,16.0,1537,307400
red4,1,14.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.130801018,1626.8456375838928,0.0,16.0,1537,307400
red4,1,14.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,14,0.875,25856,2,7.735148514851485e-5,0,0.13603490975,1423.489932885906,0.0,16.0,1537,307400
red4,1,14.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.11975976268750001,1626.8456375838928,0.0,16.0,1537,307400
red4,1,16.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1006160828125,1626.8456375838928,0.0,16.0,1537,307400
red4,1,16.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.19718827825,1626.8456375838928,0.0,16.0,1537,307400
red4,1,16.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.15207246331250002,1626.8456375838928,0.0,16.0,1537,307400
red4,1,16.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.14615234043749997,1626.8456375838928,0.0,16.0,1537,307400
red4,1,16.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.09157208331249998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,18.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.10199081324999999,1626.8456375838928,0.0,16.0,1537,307400
red4,1,18.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.15088354774999999,1626.8456375838928,0.0,16.0,1537,307400
red4,1,18.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1004680596875,1626.8456375838928,0.0,16.0,1537,307400
red4,1,18.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.09237924712499998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,18.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1004899414375,1626.8456375838928,0.0,16.0,1537,307400
red4,1,20.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1027849928125,1626.8456375838928,0.0,16.0,1537,307400
red4,1,20.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.18715580931249998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,20.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.145678857875,1626.8456375838928,0.0,16.0,1537,307400
red4,1,20.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1504209585,1626.8456375838928,0.0,16.0,1537,307400
red4,1,20.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.113590085,1626.8456375838928,0.0,16.0,1537,307400
red4,1,22.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1497545085625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,22.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.310565583625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,22.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.130189638,1626.8456375838928,0.0,16.0,1537,307400
red4,1,22.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1594830655,1626.8456375838928,0.0,16.0,1537,307400
red4,1,22.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.12815668756249998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,24.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.061994726625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,24.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.126325359625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,24.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.0722594268125,1626.8456375838928,0.0,16.0,1537,307400
red4,1,24.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.07570597224999998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,24.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.05834369006249999,1626.8456375838928,0.0,16.0,1537,307400
red4,1,26.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.173747508125,1626.8456375838928,0.0,16.0,1537,307400
red4,1,26.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.16993567556249994,1626.8456375838928,0.0,16.0,1537,307400
red4,1,26.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1126485984375,1626.8456375838928,0.0,16.0,1537,307400
red4,1,26.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.09718553831249999,1626.8456375838928,0.0,16.0,1537,307400
red4,1,26.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.108205030875,1626.8456375838928,0.0,16.0,1537,307400
red4,1,28.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.0997979601875,1626.8456375838928,0.0,16.0,1537,307400
red4,1,28.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.173935806,1626.8456375838928,0.0,16.0,1537,307400
red4,1,28.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.09418838075,1626.8456375838928,0.0,16.0,1537,307400
red4,1,28.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.08549084931249999,1626.8456375838928,0.0,16.0,1537,307400
red4,1,28.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.13770288574999998,1626.8456375838928,0.0,16.0,1537,307400
red4,1,30.0,cwz_joint,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.1307478388125,1626.8456375838928,0.0,16.0,1537,307400
red4,1,30.0,lite,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.18796162106249997,1626.8456375838928,0.0,16.0,1537,307400
red4,1,30.0,ofdm_fec,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.111248000625,1626.8456375838928,0.0,16.0,1537,307400
red4,1,30.0,pfft,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,15,0.9375,25856,1,3.8675742574257426e-5,0,0.0990476661875,1525.1677852348994,0.0,16.0,1537,307400
red4,1,30.0,profiled_cz,4,16,configuration,awgn,1024,64,0.25,5,5,14,0,4,16,1616,16,1.0,25856,0,0.0,0,0.12125674087499998,1626.8456375838928,0.0,16.0,1537,307400
