channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red1,1,0.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19421,0.41797951101928377,0,0.26214919999999997,0.0,0.0,32.0,3073,614600
red1,1,0.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19944,0.42923553719008267,0,0.08533810625,0.0,0.0,32.0,3073,614600
red1,1,0.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17717,0.3813059573002755,0,0.062068865625,0.0,0.0,32.0,3073,614600
red1,1,0.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,20505,0.44130940082644626,0,0.06193403749999999,0.0,0.0,32.0,3073,614600
red1,1,0.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19757,0.42521091597796146,0,0.4492805187499999,0.0,0.0,32.0,3073,614600
red1,1,2.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18581,0.39990099862258954,0,0.27703513125,0.0,0.0,32.0,3073,614600
red1,1,2.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18906,0.4068956611570248,0,0.09226392812499999,0.0,0.0,32.0,3073,614600
red1,1,2.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15806,0.34017734159779617,0,0.05633133437499999,0.0,0.0,32.0,3073,614600
red1,1,2.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19524,0.42019628099173556,0,0.06168150312500001,0.0,0.0,32.0,3073,614600
red1,1,2.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18833,0.4053245523415978,0,0.43493353749999997,0.0,0.0,32.0,3073,614600
red1,1,4.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,16974,0.3653150826446281,0,0.28663581562499996,0.0,0.0,32.0,3073,614600
red1,1,4.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17729,0.3815642217630854,0,0.090762959375,0.0,0.0,32.0,3073,614600
red1,1,4.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,13093,0.28178805096418735,0,0.0540775625,0.0,0.0,32.0,3073,614600
red1,1,4.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18790,0.40439910468319556,0,0.05500229062499999,0.0,0.0,32.0,3073,614600
red1,1,4.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17381,0.3740745523415978,0,0.4422686343749999,0.0,0.0,32.0,3073,614600
red1,1,6.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,14904,0.32076446280991733,0,0.2831415281250001,0.0,0.0,32.0,3073,614600
red1,1,6.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15950,0.34327651515151514,0,0.09670716874999997,0.0,0.0,32.0,3073,614600
red1,1,6.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,7251,0.15605630165289255,0,0.06055881562499999,0.0,0.0,32.0,3073,614600
red1,1,6.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17894,0.38511535812672176,0,0.059087321875,0.0,0.0,32.0,3073,614600
red1,1,6.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15311,0.32952393250688705,0,0.433406675,0.0,0.0,32.0,3073,614600
red1,1,8.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,12813,0.27576188016528924,0,0.28420258125,0.0,0.0,32.0,3073,614600
red1,1,8.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,13793,0.2968534779614325,0,0.10348427187499999,0.0,0.0,32.0,3073,614600
red1,1,8.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,3,0.09375,46464,1079,0.02322227961432507,0,0.06254685312500001,140.81896551724137,0.0,32.0,3073,614600
red1,1,8.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17070,0.3673811983471074,0,0.07192331875,0.0,0.0,32.0,3073,614600
red1,1,8.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,13045,0.28075499311294766,0,0.47809925625,0.0,0.0,32.0,3073,614600
red1,1,10.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,1,0.03125,46464,10109,0.21756628787878787,0,0.29479340312499996,46.939655172413794,0.0,32.0,3073,614600
red1,1,10.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,1,0.03125,46464,11051,0.23784004820936638,0,0.09320134999999999,46.939655172413794,0.0,32.0,3073,614600
red1,1,10.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,8,0.25,46464,84,0.0018078512396694215,0,0.05610931875,375.51724137931035,0.0,32.0,3073,614600
red1,1,10.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,16393,0.3528107782369146,0,0.072168925,0.0,0.0,32.0,3073,614600
red1,1,10.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,1,0.03125,46464,10392,0.22365702479338842,0,0.445179096875,46.939655172413794,0.0,32.0,3073,614600
red1,1,12.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,4,0.125,46464,6578,0.1415719696969697,0,0.26068019374999996,187.75862068965517,0.0,32.0,3073,614600
red1,1,12.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,4,0.125,46464,7594,0.1634383608815427,0,0.10193264375,187.75862068965517,0.0,32.0,3073,614600
red1,1,12.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,14,0.4375,46464,45,0.0009684917355371901,0,0.05737771249999998,657.1551724137931,0.0,32.0,3073,614600
red1,1,12.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15478,0.3331181129476584,0,0.05376078125000001,0.0,0.0,32.0,3073,614600
red1,1,12.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,4,0.125,46464,6729,0.14482179752066116,0,0.47020385625,187.75862068965517,0.0,32.0,3073,614600
red1,1,14.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,7,0.21875,46464,4532,0.09753787878787878,0,0.2678845875,328.57758620689657,0.0,32.0,3073,614600
red1,1,14.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,7,0.21875,46464,5288,0.11380853994490359,0,0.09431556875,328.57758620689657,0.0,32.0,3073,614600
red1,1,14.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,20,0.625,46464,26,0.000559573002754821,0,0.05833795625000001,938.7931034482758,0.0,32.0,3073,614600
red1,1,14.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15051,0.32392820247933884,0,0.06823717812500002,0.0,0.0,32.0,3073,614600
red1,1,14.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,7,0.21875,46464,4610,0.09921659779614325,0,0.42695055312499985,328.57758620689657,0.0,32.0,3073,614600
red1,1,16.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,11,0.34375,46464,2771,0.05963756887052342,0,0.25628086562499997,516.3362068965517,0.0,32.0,3073,614600
red1,1,16.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,10,0.3125,46464,3316,0.07136707988980716,0,0.09407175624999999,469.3965517241379,0.0,32.0,3073,614600
red1,1,16.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,24,0.75,46464,13,0.0002797865013774105,0,0.06035188749999999,1126.551724137931,0.0,32.0,3073,614600
