channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red1,3,0.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18191,0.39150740358126723,0,0.2618659875,0.0,0.0,32.0,3073,614600
red1,3,0.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18716,0.4028064738292011,0,0.08239965937499999,0.0,0.0,32.0,3073,614600
red1,3,0.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,16935,0.36447572314049587,0,0.058508374999999994,0.0,0.0,32.0,3073,614600
red1,3,0.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19525,0.42021780303030304,0,0.052073871875000004,0.0,0.0,32.0,3073,614600
red1,3,0.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18516,0.3985020661157025,0,0.45447137812500005,0.0,0.0,32.0,3073,614600
red1,3,2.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17027,0.36645575068870523,0,0.271787109375,0.0,0.0,32.0,3073,614600
red1,3,2.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17633,0.3794981060606061,0,0.07634238125000001,0.0,0.0,32.0,3073,614600
red1,3,2.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,14395,0.30980974517906334,0,0.053726059375,0.0,0.0,32.0,3073,614600
red1,3,2.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18344,0.3948002754820937,0,0.053454346874999996,0.0,0.0,32.0,3073,614600
red1,3,2.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17443,0.37540891873278237,0,0.4453689249999999,0.0,0.0,32.0,3073,614600
red1,3,4.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,13863,0.298360020661157,0,0.25392747499999996,0.0,0.0,32.0,3073,614600
red1,3,4.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,14958,0.321926652892562,0,0.08272034375000001,0.0,0.0,32.0,3073,614600
red1,3,4.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,7691,0.16552599862258954,0,0.06689735312500002,0.0,0.0,32.0,3073,614600
red1,3,4.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17126,0.36858643250688705,0,0.056099334375000004,0.0,0.0,32.0,3073,614600
red1,3,4.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,14342,0.3086690771349862,0,0.44073086562499997,0.0,0.0,32.0,3073,614600
red1,3,6.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,7498,0.16137224517906337,0,0.28217620624999995,0.0,0.0,32.0,3073,614600
red1,3,6.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,9407,0.20245781680440772,0,0.094955121875,0.0,0.0,32.0,3073,614600
red1,3,6.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,2,0.0625,46464,375,0.008070764462809916,0,0.07154738125,93.87931034482759,0.0,32.0,3073,614600
red1,3,6.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15557,0.33481835399449034,0,0.058234796875,0.0,0.0,32.0,3073,614600
red1,3,6.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,7707,0.16587035123966942,0,0.4659952625,0.0,0.0,32.0,3073,614600
red1,3,8.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,5,0.15625,46464,612,0.013171487603305785,0,0.254418925,234.69827586206895,0.0,32.0,3073,614600
red1,3,8.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,5,0.15625,46464,792,0.017045454545454544,0,0.09407667812500001,234.69827586206895,0.0,32.0,3073,614600
red1,3,8.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,13,0.40625,46464,32,0.0006887052341597796,0,0.066615990625,610.2155172413793,0.0,32.0,3073,614600
red1,3,8.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,14169,0.3049457644628099,0,0.0555479875,0.0,0.0,32.0,3073,614600
red1,3,8.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,5,0.15625,46464,626,0.01347279614325069,0,0.41290504062500005,234.69827586206895,0.0,32.0,3073,614600
red1,3,10.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,24,0.75,46464,10,0.00021522038567493114,0,0.215909640625,1126.551724137931,0.0,32.0,3073,614600
red1,3,10.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,23,0.71875,46464,11,0.00023674242424242425,0,0.094495215625,1079.6120689655172,0.0,32.0,3073,614600
red1,3,10.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,29,0.90625,46464,3,6.456611570247934e-5,0,0.056954912499999996,1361.25,0.0,32.0,3073,614600
red1,3,10.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,11833,0.254670282369146,0,0.05590358124999999,0.0,0.0,32.0,3073,614600
red1,3,10.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,23,0.71875,46464,11,0.00023674242424242425,0,0.35268961562500006,1079.6120689655172,0.0,32.0,3073,614600
red1,3,12.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,29,0.90625,46464,5,0.00010761019283746557,0,0.23408920937499997,1361.25,0.0,32.0,3073,614600
red1,3,12.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,29,0.90625,46464,5,0.00010761019283746557,0,0.08921558125000001,1361.25,0.0,32.0,3073,614600
red1,3,12.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.056723096875,1502.0689655172414,0.0,32.0,3073,614600
red1,3,12.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,8267,0.17792269283746556,0,0.06527171562499999,0.0,0.0,32.0,3073,614600
red1,3,12.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,29,0.90625,46464,5,0.00010761019283746557,0,0.31506267499999996,1361.25,0.0,32.0,3073,614600
red1,3,14.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,31,0.96875,46464,1,2.1522038567493114e-5,0,0.22783345624999998,1455.1293103448277,0.0,32.0,3073,614600
red1,3,14.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,31,0.96875,46464,1,2.1522038567493114e-5,0,0.09606039687500001,1455.1293103448277,0.0,32.0,3073,614600
red1,3,14.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.053242790624999994,1502.0689655172414,0.0,32.0,3073,614600
red1,3,14.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,4451,0.09579459366391184,0,0.057147825,0.0,0.0,32.0,3073,614600
red1,3,14.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,31,0.96875,46464,1,2.1522038567493114e-5,0,0.3527876687499999,1455.1293103448277,0.0,32.0,3073,614600
red1,3,16.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.21561383124999997,1502.0689655172414,0.0,32.0,3073,614600
red1,3,16.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.07364416250000001,1502.0689655172414,0.0,32.0,3073,614600
red1,3,16.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.05509459374999999,1502.0689655172414,0.0,32.0,3073,614600
red1,3,16.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,2432,0.05234159779614325,0,0.06229674375000001,0.0,0.0,32.0,3073,614600
red1,3,16.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.31709588750000006,1502.0689655172414,0.0,32.0,3073,614600
red1,3,18.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.21311570312499997,1502.0689655172414,0.0,32.0,3073,614600
red1,3,18.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.08596405625,1502.0689655172414,0.0,32.0,3073,614600
red1,3,18.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.055474775000000004,1502.0689655172414,0.0,32.0,3073,614600
red1,3,18.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,1507,0.03243371212121212,0,0.056928715625,0.0,0.0,32.0,3073,614600
red1,3,18.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.34813831875000006,1502.0689655172414,0.0,32.0,3073,614600
red1,3,20.0,cwz_joint,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.205050515625,1502.0689655172414,0.0,32.0,3073,614600
red1,3,20.0,lite,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.073554146875,1502.0689655172414,0.0,32.0,3073,614600
red1,3,20.0,ofdm_fec,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.047224687500000015,1502.0689655172414,0.0,32.0,3073,614600
red1,3,20.0,pfft,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,1160,0.02496556473829201,0,0.073674465625,0.0,0.0,32.0,3073,614600
red1,3,20.0,profiled_cz,4,32,min-BER,awgn,512,64,0.25,5,5,14,0,4,16,1452,32,1.0,46464,0,0.0,0,0.32649669375000007,1502.0689655172414,0.0,32.0,3073,614600
