channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red3,3,0.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,35841,0.3448372075123153,0,0.8350472678750002,0.0,0.0,32.0,3073,614600
red3,3,0.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,37799,0.3636757235221675,0,0.2100580828125,0.0,0.0,32.0,3073,614600
red3,3,0.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,35841,0.3448372075123153,0,0.10726933659374997,0.0,0.0,32.0,3073,614600
red3,3,0.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,38107,0.366639085591133,0,0.10399393515625,0.0,0.0,32.0,3073,614600
red3,3,0.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,35841,0.3448372075123153,0,1.0788938024374997,0.0,0.0,32.0,3073,614600
red3,3,2.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,31994,0.30782404556650245,0,0.8875913065937501,0.0,0.0,32.0,3073,614600
red3,3,2.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,34602,0.3329164100985222,0,0.16455600446875,0.0,0.0,32.0,3073,614600
red3,3,2.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,31994,0.30782404556650245,0,0.09830981353124998,0.0,0.0,32.0,3073,614600
red3,3,2.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,34912,0.3358990147783251,0,0.09863074378125002,0.0,0.0,32.0,3073,614600
red3,3,2.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,31994,0.30782404556650245,0,1.0254014170937498,0.0,0.0,32.0,3073,614600
red3,3,4.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,28554,0.2747267549261084,0,0.8161516977499998,0.0,0.0,32.0,3073,614600
red3,3,4.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,30742,0.295778171182266,0,0.19196839424999998,0.0,0.0,32.0,3073,614600
red3,3,4.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,28554,0.2747267549261084,0,0.10325420212500001,0.0,0.0,32.0,3073,614600
red3,3,4.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,31317,0.3013104217980296,0,0.10647078809374998,0.0,0.0,32.0,3073,614600
red3,3,4.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,28554,0.2747267549261084,0,1.1109000838124996,0.0,0.0,32.0,3073,614600
red3,3,6.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,25187,0.24233181958128078,0,0.8832660021562498,0.0,0.0,32.0,3073,614600
red3,3,6.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,28058,0.26995458743842365,0,0.18609085821875,0.0,0.0,32.0,3073,614600
red3,3,6.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,25187,0.24233181958128078,0,0.09750609581250001,0.0,0.0,32.0,3073,614600
red3,3,6.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,28652,0.27566964285714285,0,0.09726614324999999,0.0,0.0,32.0,3073,614600
red3,3,6.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,25187,0.24233181958128078,0,1.04720218453125,0.0,0.0,32.0,3073,614600
red3,3,8.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,22300,0.21455511083743842,0,0.91845233834375,0.0,0.0,32.0,3073,614600
red3,3,8.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,25636,0.24665178571428573,0,0.17229326346875,0.0,0.0,32.0,3073,614600
red3,3,8.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,22300,0.21455511083743842,0,0.09147299471875,0.0,0.0,32.0,3073,614600
red3,3,8.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,26237,0.25243419027093594,0,0.09514371999999999,0.0,0.0,32.0,3073,614600
red3,3,8.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,22300,0.21455511083743842,0,1.0189777699062499,0.0,0.0,32.0,3073,614600
red3,3,10.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,19745,0.18997267549261085,0,0.8797205975625,0.0,0.0,32.0,3073,614600
red3,3,10.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,23550,0.22658174261083744,0,0.1819688228125,0.0,0.0,32.0,3073,614600
red3,3,10.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,19745,0.18997267549261085,0,0.09295509887499999,0.0,0.0,32.0,3073,614600
red3,3,10.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,24499,0.23571236145320196,0,0.09885110609375,0.0,0.0,32.0,3073,614600
red3,3,10.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,19745,0.18997267549261085,0,1.0758180366874999,0.0,0.0,32.0,3073,614600
red3,3,12.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,17552,0.1688731527093596,0,0.89152165084375,0.0,0.0,32.0,3073,614600
red3,3,12.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,22557,0.21702778633004927,0,0.17382456959375,0.0,0.0,32.0,3073,614600
red3,3,12.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,17552,0.1688731527093596,0,0.09393879143749999,0.0,0.0,32.0,3073,614600
red3,3,12.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,23317,0.22433997844827586,0,0.10417278943749998,0.0,0.0,32.0,3073,614600
red3,3,12.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,17552,0.1688731527093596,0,1.0756005861875,0.0,0.0,32.0,3073,614600
red3,3,14.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,15997,0.15391202278325122,0,0.80313513921875,0.0,0.0,32.0,3073,614600
red3,3,14.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,20857,0.2006715671182266,0,0.20262224371874998,0.0,0.0,32.0,3073,614600
red3,3,14.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,15997,0.15391202278325122,0,0.10796116415625001,0.0,0.0,32.0,3073,614600
red3,3,14.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,22027,0.21192849445812809,0,0.10470402631249999,0.0,0.0,32.0,3073,614600
red3,3,14.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,15997,0.15391202278325122,0,1.06344294553125,0.0,0.0,32.0,3073,614600
red3,3,16.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,1,0.03125,103936,13947,0.13418834667487683,0,0.863074115125,102.18120805369128,0.0,32.0,3073,614600
red3,3,16.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,19673,0.18927994150246305,0,0.19581573187499998,0.0,0.0,32.0,3073,614600
red3,3,16.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,1,0.03125,103936,13947,0.13418834667487683,0,0.10243693146874999,102.18120805369128,0.0,32.0,3073,614600
red3,3,16.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,21284,0.2047798645320197,0,0.10280215887500002,0.0,0.0,32.0,3073,614600
red3,3,16.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,1,0.03125,103936,13947,0.13418834667487683,0,0.9638575532500002,102.18120805369128,0.0,32.0,3073,614600
red3,3,18.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,4,0.125,103936,11720,0.11276169950738917,0,0.757661564375,408.7248322147651,0.0,32.0,3073,614600
red3,3,18.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,19174,0.18447891009852216,0,0.19227013996875,0.0,0.0,32.0,3073,614600
red3,3,18.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,4,0.125,103936,11720,0.11276169950738917,0,0.1066463105625,408.7248322147651,0.0,32.0,3073,614600
red3,3,18.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,20534,0.1975638854679803,0,0.10765235321875001,0.0,0.0,32.0,3073,614600
red3,3,18.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,4,0.125,103936,11720,0.11276169950738917,0,0.8896907236562501,408.7248322147651,0.0,32.0,3073,614600
red3,3,20.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,7,0.21875,103936,9960,0.09582820197044335,0,0.6861626214375003,715.2684563758389,0.0,32.0,3073,614600
red3,3,20.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,18599,0.17894665948275862,0,0.19472513328125002,0.0,0.0,32.0,3073,614600
red3,3,20.0,ofdm_fec,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,7,0.21875,103936,9960,0.09582820197044335,0,0.105320959375,715.2684563758389,0.0,32.0,3073,614600
red3,3,20.0,pfft,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,19937,0.19181996613300492,0,0.1051686765,0.0,0.0,32.0,3073,614600
red3,3,20.0,profiled_cz,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,7,0.21875,103936,9960,0.09582820197044335,0,0.8178622428437498,715.2684563758389,0.0,32.0,3073,614600
red3,3,22.0,cwz_joint,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,11,0.34375,103936,8458,0.0813770012315271,0,0.6047412169687499,1123.9932885906042,0.0,32.0,3073,614600
red3,3,22.0,lite,4,32,configuration,awgn,1024,64,0.5,5,5,14,0,4,16,3248,0,0.0,103936,18214,0.1752424568965517,0,0.18489195459375005,0.0,0.0,32.0,3073,614600
