channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red2,1,0.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,65709,0.4241698512703987,0,0.7985946216382976,0.0,0.0,47.78125,4588,917600
red2,1,0.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,61210,0.3951275562900227,0,0.16851409287234045,0.0,0.0,47.78125,4588,917600
red2,1,0.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,65709,0.4241698512703987,0,0.08959896589361702,0.0,0.0,47.78125,4588,917600
red2,1,0.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,61312,0.3957859946292088,0,0.09735001559574469,0.0,0.0,47.78125,4588,917600
red2,1,0.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,65709,0.4241698512703987,0,0.9325379446595744,0.0,0.0,47.78125,4588,917600
red2,1,2.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,63255,0.4083285994629209,0,0.8072178969361701,0.0,0.0,47.78125,4588,917600
red2,1,2.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,56908,0.3673569510431729,0,0.16903089929787235,0.0,0.0,47.78125,4588,917600
red2,1,2.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,63255,0.4083285994629209,0,0.08844759487234043,0.0,0.0,47.78125,4588,917600
red2,1,2.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,57616,0.3719272877504648,0,0.0942482895106383,0.0,0.0,47.78125,4588,917600
red2,1,2.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,63255,0.4083285994629209,0,0.9339764593617018,0.0,0.0,47.78125,4588,917600
red2,1,4.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,60605,0.39122211319975214,0,0.7902379509787231,0.0,0.0,47.78125,4588,917600
red2,1,4.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,52946,0.3417811402602768,0,0.1628722923829787,0.0,0.0,47.78125,4588,917600
red2,1,4.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,60605,0.39122211319975214,0,0.09170008274468083,0.0,0.0,47.78125,4588,917600
red2,1,4.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,53864,0.34770708531295186,0,0.10865576665957447,0.0,0.0,47.78125,4588,917600
red2,1,4.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,60605,0.39122211319975214,0,0.9651975944893615,0.0,0.0,47.78125,4588,917600
red2,1,6.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,58366,0.3767687461268333,0,0.7865546087021275,0.0,0.0,47.78125,4588,917600
red2,1,6.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,49409,0.3189488225573229,0,0.17676905014893618,0.0,0.0,47.78125,4588,917600
red2,1,6.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,58366,0.3767687461268333,0,0.09043512272340426,0.0,0.0,47.78125,4588,917600
red2,1,6.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,50235,0.3242808820491634,0,0.09176748746808512,0.0,0.0,47.78125,4588,917600
red2,1,6.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,58366,0.3767687461268333,0,0.9102089714680852,0.0,0.0,47.78125,4588,917600
red2,1,8.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,56399,0.36407121462507747,0,0.8178683574042552,0.0,0.0,47.78125,4588,917600
red2,1,8.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,46175,0.2980724540384218,0,0.1761578330425532,0.0,0.0,47.78125,4588,917600
red2,1,8.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,56399,0.36407121462507747,0,0.09680527265957445,0.0,0.0,47.78125,4588,917600
red2,1,8.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,46814,0.3021973765750878,0,0.09485662021276595,0.0,0.0,47.78125,4588,917600
red2,1,8.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,56399,0.36407121462507747,0,0.9685873206170211,0.0,0.0,47.78125,4588,917600
red2,1,10.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,54787,0.35366530675480273,0,0.835431651170213,0.0,0.0,47.78125,4588,917600
red2,1,10.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,43344,0.2797975624870894,0,0.1658221690425532,0.0,0.0,47.78125,4588,917600
red2,1,10.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,54787,0.35366530675480273,0,0.09742930404255322,0.0,0.0,47.78125,4588,917600
red2,1,10.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,44342,0.28623992976657714,0,0.09239031846808508,0.0,0.0,47.78125,4588,917600
red2,1,10.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,54787,0.35366530675480273,0,0.9586662237021277,0.0,0.0,47.78125,4588,917600
red2,1,12.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,53535,0.34558329890518485,0,0.83135159006383,0.0,0.0,47.78125,4588,917600
red2,1,12.0,lite,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,40533,0.26165177649246024,0,0.17396062682978722,0.0,0.0,47.78125,4588,917600
red2,1,12.0,ofdm_fec,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,53535,0.34558329890518485,0,0.09098629168085108,0.0,0.0,47.78125,4588,917600
red2,1,12.0,pfft,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,42073,0.2715929043586036,0,0.09491308608510639,0.0,0.0,47.78125,4588,917600
red2,1,12.0,profiled_cz,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,53535,0.34558329890518485,0,0.9485005841489365,0.0,0.0,47.78125,4588,917600
red2,1,14.0,cwz_joint,4,47,configuration,awgn,2048,64,0.5,10,10,14,0,4,16,3296,0,0.0,154912,52435,0.33848249328651103,0,0.7964736708723404,0.0,0.0,47.78125,4588,917600
