workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,bit_errors,success,decode_failure,selected_source,selection_reason,standard_crc_valid,rescue_executed,rescue_is_gradient,rescue_crc_valid,gradient_checkpoints,selected_iteration,optimized_variables,partial_fft_parts,partial_fft_bands
red4:lane1:snr0.0:seed4:frame1,0.0,1,cwz_joint,awgn,0.0,47.0,1,0.0,1.9688541666666666,1.9266666666666667,1275,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame2,0.0,2,cwz_joint,awgn,0.0,47.0,140,1.4479166666666667,3.4167708333333335,1.9266666666666667,1243,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame3,0.0,3,cwz_joint,awgn,0.0,47.0,280,2.90625,4.875104166666667,1.9266666666666667,1155,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame4,0.0,4,cwz_joint,awgn,0.0,47.0,419,4.354166666666667,6.3230208333333335,1.9266666666666667,1198,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame5,0.0,5,cwz_joint,awgn,0.0,47.0,559,5.8125,7.781354166666667,1.9266666666666667,1311,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame6,0.0,6,cwz_joint,awgn,0.0,47.0,698,7.260416666666667,9.229270833333334,1.9266666666666667,1229,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame7,0.0,7,cwz_joint,awgn,0.0,47.0,838,8.71875,10.687604166666667,1.9266666666666667,1250,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame8,0.0,8,cwz_joint,awgn,0.0,47.0,977,10.166666666666666,12.135520833333333,1.9266666666666667,1109,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame9,0.0,9,cwz_joint,awgn,0.0,47.0,1116,11.614583333333334,13.5834375,1.9266666666666667,1175,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame10,0.0,10,cwz_joint,awgn,0.0,47.0,1256,13.072916666666666,15.041770833333333,1.9266666666666667,1190,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame11,0.0,11,cwz_joint,awgn,0.0,47.0,1395,14.520833333333334,16.489687500000002,1.9266666666666667,1259,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red4:lane1:snr0.0:seed4:frame12,0.0,12,cwz_joint,awgn,0.0,47.0,1535,15.979166666666666,17.94802083333333,1.9266666666666667,1208,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
