channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
blue1,1,0.0,cwz_joint,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10804,0.4650482093663912,0,0.15447876874999997,0.0,0.0,47.0,2295,459184
blue1,1,0.0,direct_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10935,0.4706869834710744,0,0.168295521875,0.0,0.0,47.0,2295,459184
blue1,1,0.0,lite,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10804,0.4650482093663912,0,0.11427126562500001,0.0,0.0,47.0,2295,459184
blue1,1,0.0,ofdm_fec,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10908,0.46952479338842973,0,0.06397517812499999,0.0,0.0,47.0,2295,459184
blue1,1,0.0,pfft,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10692,0.4602272727272727,0,0.060010987499999995,0.0,0.0,47.0,2295,459184
blue1,1,0.0,profiled_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10804,0.4650482093663912,0,0.17110600312500002,0.0,0.0,47.0,2295,459184
blue1,1,2.0,cwz_joint,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10204,0.43922176308539945,0,0.14702742500000004,0.0,0.0,47.0,2295,459184
blue1,1,2.0,direct_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10584,0.4555785123966942,0,0.16686812812500001,0.0,0.0,47.0,2295,459184
blue1,1,2.0,lite,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10204,0.43922176308539945,0,0.069816703125,0.0,0.0,47.0,2295,459184
blue1,1,2.0,ofdm_fec,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,9984,0.4297520661157025,0,0.06205125312499998,0.0,0.0,47.0,2295,459184
blue1,1,2.0,pfft,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10130,0.43603650137741046,0,0.09014154687500003,0.0,0.0,47.0,2295,459184
