channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
blue4,1,0.0,cwz_joint,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10690,0.46014118457300274,0,0.170374053125,0.0,0.0,47.0,2295,459184
blue4,1,0.0,direct_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10926,0.4702995867768595,0,0.16375500625,0.0,0.0,47.0,2295,459184
blue4,1,0.0,lite,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10690,0.46014118457300274,0,0.07657664374999999,0.0,0.0,47.0,2295,459184
blue4,1,0.0,ofdm_fec,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10991,0.4730974517906336,0,0.057897228125000005,0.0,0.0,47.0,2295,459184
blue4,1,0.0,pfft,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10769,0.4635416666666667,0,0.06937139687499999,0.0,0.0,47.0,2295,459184
blue4,1,0.0,profiled_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10690,0.46014118457300274,0,0.16749172499999998,0.0,0.0,47.0,2295,459184
blue4,1,2.0,cwz_joint,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10122,0.4356921487603306,0,0.15744975,0.0,0.0,47.0,2295,459184
blue4,1,2.0,direct_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10511,0.45243629476584024,0,0.15897400312499999,0.0,0.0,47.0,2295,459184
blue4,1,2.0,lite,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10122,0.4356921487603306,0,0.061260712499999995,0.0,0.0,47.0,2295,459184
blue4,1,2.0,ofdm_fec,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10123,0.4357351928374656,0,0.05337108125,0.0,0.0,47.0,2295,459184
blue4,1,2.0,pfft,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10047,0.4324638429752066,0,0.05511010625000001,0.0,0.0,47.0,2295,459184
blue4,1,2.0,profiled_cz,5,32,configuration,awgn,1024,64,0.25,6,8,14,0,4,16,726,0,0.0,23232,10122,0.4356921487603306,0,0.166561225,0.0,0.0,47.0,2295,459184
