workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,frame_samples,payload_bits,payload_seed,noise_seed,replay_seed,optimizer_seed,bit_errors,success,decode_failure,partial_fft_parts,partial_fft_bands
blue3:lane1:snr0.0:seed4:frame1,0.0,1,cwz_joint,awgn,0.0,47.0,1,0.0,1.0143744,0.9773056,4772,915,4,4,4,4,413,false,false,4,16
blue3:lane1:snr0.0:seed4:frame2,0.0,2,cwz_joint,awgn,0.0,47.0,73,1.47456,2.4889343999999998,0.9773056,4772,915,5,5,5,4,447,false,false,4,16
blue3:lane1:snr0.0:seed4:frame3,0.0,3,cwz_joint,awgn,0.0,47.0,146,2.9696,3.9839743999999997,0.9773056,4772,915,6,6,6,4,400,false,false,4,16
blue3:lane1:snr0.0:seed4:frame4,0.0,4,cwz_joint,awgn,0.0,47.0,218,4.44416,5.4585344,0.9773056,4772,915,7,7,7,4,451,false,false,4,16
blue3:lane1:snr0.0:seed4:frame5,0.0,5,cwz_joint,awgn,0.0,47.0,291,5.9392,6.953574399999999,0.9773056,4772,915,8,8,8,4,448,false,false,4,16
blue3:lane1:snr0.0:seed4:frame6,0.0,6,cwz_joint,awgn,0.0,47.0,363,7.41376,8.4281344,0.9773056,4772,915,9,9,9,4,416,false,false,4,16
blue3:lane1:snr0.0:seed4:frame7,0.0,7,cwz_joint,awgn,0.0,47.0,435,8.88832,9.9026944,0.9773056,4772,915,10,10,10,4,434,false,false,4,16
blue3:lane1:snr0.0:seed4:frame8,0.0,8,cwz_joint,awgn,0.0,47.0,508,10.38336,11.3977344,0.9773056,4772,915,11,11,11,4,462,false,false,4,16
blue3:lane1:snr0.0:seed4:frame9,0.0,9,cwz_joint,awgn,0.0,47.0,580,11.85792,12.8722944,0.9773056,4772,915,12,12,12,4,418,false,false,4,16
blue3:lane1:snr0.0:seed4:frame10,0.0,10,cwz_joint,awgn,0.0,47.0,652,13.33248,14.3468544,0.9773056,4772,915,13,13,13,4,413,false,false,4,16
blue3:lane1:snr0.0:seed4:frame11,0.0,11,cwz_joint,awgn,0.0,47.0,725,14.82752,15.8418944,0.9773056,4772,915,14,14,14,4,427,false,false,4,16
blue3:lane1:snr0.0:seed4:frame12,0.0,12,cwz_joint,awgn,0.0,47.0,797,16.30208,17.3164544,0.9773056,4772,915,15,15,15,4,432,false,false,4,16
blue3:lane1:snr0.0:seed4:frame13,0.0,13,cwz_joint,awgn,0.0,47.0,870,17.79712,18.8114944,0.9773056,4772,915,16,16,16,4,469,false,false,4,16
blue3:lane1:snr0.0:seed4:frame14,0.0,14,cwz_joint,awgn,0.0,47.0,942,19.27168,20.2860544,0.9773056,4772,915,17,17,17,4,470,false,false,4,16
blue3:lane1:snr0.0:seed4:frame15,0.0,15,cwz_joint,awgn,0.0,47.0,1014,20.74624,21.7606144,0.9773056,4772,915,18,18,18,4,413,false,false,4,16
blue3:lane1:snr0.0:seed4:frame16,0.0,16,cwz_joint,awgn,0.0,47.0,1087,22.24128,23.2556544,0.9773056,4772,915,19,19,19,4,401,false,false,4,16
blue3:lane1:snr0.0:seed4:frame17,0.0,17,cwz_joint,awgn,0.0,47.0,1159,23.71584,24.7302144,0.9773056,4772,915,20,20,20,4,485,false,false,4,16
blue3:lane1:snr0.0:seed4:frame18,0.0,18,cwz_joint,awgn,0.0,47.0,1232,25.21088,26.2252544,0.9773056,4772,915,21,21,21,4,440,false,false,4,16
blue3:lane1:snr0.0:seed4:frame19,0.0,19,cwz_joint,awgn,0.0,47.0,1304,26.68544,27.6998144,0.9773056,4772,915,22,22,22,4,461,false,false,4,16
blue3:lane1:snr0.0:seed4:frame20,0.0,20,cwz_joint,awgn,0.0,47.0,1376,28.16,29.1743744,0.9773056,4772,915,23,23,23,4,408,false,false,4,16
blue3:lane1:snr0.0:seed4:frame21,0.0,21,cwz_joint,awgn,0.0,47.0,1449,29.65504,30.6694144,0.9773056,4772,915,24,24,24,4,456,false,false,4,16
blue3:lane1:snr0.0:seed4:frame22,0.0,22,cwz_joint,awgn,0.0,47.0,1521,31.1296,32.1439744,0.9773056,4772,915,25,25,25,4,450,false,false,4,16
