workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,frame_samples,payload_bits,payload_seed,noise_seed,replay_seed,optimizer_seed,bit_errors,success,decode_failure,partial_fft_parts,partial_fft_bands
blue4:lane1:snr0.0:seed5:frame1,0.0,1,cwz_joint,awgn,0.0,47.0,1,0.0,0.791552,0.7544832,3684,540,5,5,5,5,273,false,false,4,16
blue4:lane1:snr0.0:seed5:frame2,0.0,2,cwz_joint,awgn,0.0,47.0,74,1.49504,2.2865919999999997,0.7544832,3684,540,6,6,6,5,245,false,false,4,16
blue4:lane1:snr0.0:seed5:frame3,0.0,3,cwz_joint,awgn,0.0,47.0,146,2.9696,3.761152,0.7544832,3684,540,7,7,7,5,265,false,false,4,16
blue4:lane1:snr0.0:seed5:frame4,0.0,4,cwz_joint,awgn,0.0,47.0,219,4.46464,5.256192,0.7544832,3684,540,8,8,8,5,261,false,false,4,16
blue4:lane1:snr0.0:seed5:frame5,0.0,5,cwz_joint,awgn,0.0,47.0,292,5.95968,6.751232,0.7544832,3684,540,9,9,9,5,254,false,false,4,16
blue4:lane1:snr0.0:seed5:frame6,0.0,6,cwz_joint,awgn,0.0,47.0,365,7.45472,8.246272,0.7544832,3684,540,10,10,10,5,289,false,false,4,16
blue4:lane1:snr0.0:seed5:frame7,0.0,7,cwz_joint,awgn,0.0,47.0,437,8.92928,9.720832,0.7544832,3684,540,11,11,11,5,257,false,false,4,16
blue4:lane1:snr0.0:seed5:frame8,0.0,8,cwz_joint,awgn,0.0,47.0,510,10.42432,11.215872,0.7544832,3684,540,12,12,12,5,249,false,false,4,16
blue4:lane1:snr0.0:seed5:frame9,0.0,9,cwz_joint,awgn,0.0,47.0,583,11.91936,12.710911999999999,0.7544832,3684,540,13,13,13,5,256,false,false,4,16
blue4:lane1:snr0.0:seed5:frame10,0.0,10,cwz_joint,awgn,0.0,47.0,656,13.4144,14.205952,0.7544832,3684,540,14,14,14,5,273,false,false,4,16
blue4:lane1:snr0.0:seed5:frame11,0.0,11,cwz_joint,awgn,0.0,47.0,728,14.88896,15.680512,0.7544832,3684,540,15,15,15,5,271,false,false,4,16
blue4:lane1:snr0.0:seed5:frame12,0.0,12,cwz_joint,awgn,0.0,47.0,801,16.384,17.175552,0.7544832,3684,540,16,16,16,5,245,false,false,4,16
blue4:lane1:snr0.0:seed5:frame13,0.0,13,cwz_joint,awgn,0.0,47.0,874,17.87904,18.670592,0.7544832,3684,540,17,17,17,5,272,false,false,4,16
blue4:lane1:snr0.0:seed5:frame14,0.0,14,cwz_joint,awgn,0.0,47.0,947,19.37408,20.165632,0.7544832,3684,540,18,18,18,5,273,false,false,4,16
blue4:lane1:snr0.0:seed5:frame15,0.0,15,cwz_joint,awgn,0.0,47.0,1019,20.84864,21.640192,0.7544832,3684,540,19,19,19,5,283,false,false,4,16
blue4:lane1:snr0.0:seed5:frame16,0.0,16,cwz_joint,awgn,0.0,47.0,1092,22.34368,23.135232,0.7544832,3684,540,20,20,20,5,212,false,false,4,16
blue4:lane1:snr0.0:seed5:frame17,0.0,17,cwz_joint,awgn,0.0,47.0,1165,23.83872,24.630271999999998,0.7544832,3684,540,21,21,21,5,251,false,false,4,16
blue4:lane1:snr0.0:seed5:frame18,0.0,18,cwz_joint,awgn,0.0,47.0,1238,25.33376,26.125312,0.7544832,3684,540,22,22,22,5,286,false,false,4,16
blue4:lane1:snr0.0:seed5:frame19,0.0,19,cwz_joint,awgn,0.0,47.0,1310,26.80832,27.599871999999998,0.7544832,3684,540,23,23,23,5,274,false,false,4,16
