channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
blue2,2,0.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26351,0.5021150914634146,0,0.3428625,0.0,0.0,47.0,2295,459184
blue2,2,0.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26351,0.5021150914634146,0,0.059382725,0.0,0.0,47.0,2295,459184
blue2,2,0.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26268,0.5005335365853658,0,0.032485340625000005,0.0,0.0,47.0,2295,459184
blue2,2,0.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26308,0.5012957317073171,0,0.033506668749999996,0.0,0.0,47.0,2295,459184
blue2,2,0.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26351,0.5021150914634146,0,0.40615895937499996,0.0,0.0,47.0,2295,459184
blue2,2,2.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26144,0.49817073170731707,0,0.33021162187499997,0.0,0.0,47.0,2295,459184
blue2,2,2.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26144,0.49817073170731707,0,0.0627649125,0.0,0.0,47.0,2295,459184
blue2,2,2.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26435,0.5037157012195121,0,0.03099325625,0.0,0.0,47.0,2295,459184
blue2,2,2.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26222,0.49965701219512193,0,0.03209894375,0.0,0.0,47.0,2295,459184
blue2,2,2.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26144,0.49817073170731707,0,0.3978733781249999,0.0,0.0,47.0,2295,459184
blue2,2,4.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26140,0.49809451219512196,0,0.333442553125,0.0,0.0,47.0,2295,459184
blue2,2,4.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26140,0.49809451219512196,0,0.06039405937499999,0.0,0.0,47.0,2295,459184
blue2,2,4.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26287,0.5008955792682926,0,0.032071571875,0.0,0.0,47.0,2295,459184
blue2,2,4.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26075,0.4968559451219512,0,0.030337674999999995,0.0,0.0,47.0,2295,459184
blue2,2,4.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26140,0.49809451219512196,0,0.408712153125,0.0,0.0,47.0,2295,459184
blue2,2,6.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26269,0.5005525914634147,0,0.3491653125000001,0.0,0.0,47.0,2295,459184
blue2,2,6.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26269,0.5005525914634147,0,0.060034240625,0.0,0.0,47.0,2295,459184
blue2,2,6.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26483,0.5046303353658537,0,0.032603271875,0.0,0.0,47.0,2295,459184
blue2,2,6.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26183,0.4989138719512195,0,0.035244450000000004,0.0,0.0,47.0,2295,459184
blue2,2,6.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26269,0.5005525914634147,0,0.40182830625000004,0.0,0.0,47.0,2295,459184
blue2,2,8.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26244,0.5000762195121952,0,0.3483526406250001,0.0,0.0,47.0,2295,459184
blue2,2,8.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26244,0.5000762195121952,0,0.065799,0.0,0.0,47.0,2295,459184
blue2,2,8.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26337,0.5018483231707317,0,0.03767325,0.0,0.0,47.0,2295,459184
blue2,2,8.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26238,0.4999618902439024,0,0.0366574375,0.0,0.0,47.0,2295,459184
blue2,2,8.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26244,0.5000762195121952,0,0.41412188124999993,0.0,0.0,47.0,2295,459184
blue2,2,10.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26218,0.4995807926829268,0,0.347730015625,0.0,0.0,47.0,2295,459184
blue2,2,10.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26218,0.4995807926829268,0,0.07841379687500001,0.0,0.0,47.0,2295,459184
blue2,2,10.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26245,0.5000952743902439,0,0.03332613125,0.0,0.0,47.0,2295,459184
blue2,2,10.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26218,0.4995807926829268,0,0.032535165624999994,0.0,0.0,47.0,2295,459184
blue2,2,10.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26218,0.4995807926829268,0,0.3992925312500001,0.0,0.0,47.0,2295,459184
blue2,2,12.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26144,0.49817073170731707,0,0.329901946875,0.0,0.0,47.0,2295,459184
blue2,2,12.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26144,0.49817073170731707,0,0.06658610625,0.0,0.0,47.0,2295,459184
blue2,2,12.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26307,0.5012766768292682,0,0.032511046875000005,0.0,0.0,47.0,2295,459184
blue2,2,12.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26259,0.5003620426829268,0,0.03679006875,0.0,0.0,47.0,2295,459184
blue2,2,12.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26144,0.49817073170731707,0,0.423656834375,0.0,0.0,47.0,2295,459184
blue2,2,14.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26231,0.49982850609756097,0,0.356224528125,0.0,0.0,47.0,2295,459184
blue2,2,14.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26231,0.49982850609756097,0,0.05911307187500001,0.0,0.0,47.0,2295,459184
blue2,2,14.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26231,0.49982850609756097,0,0.031869828125,0.0,0.0,47.0,2295,459184
blue2,2,14.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26192,0.49908536585365854,0,0.033455665625000006,0.0,0.0,47.0,2295,459184
blue2,2,14.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26231,0.49982850609756097,0,0.4009617343750001,0.0,0.0,47.0,2295,459184
blue2,2,16.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26224,0.4996951219512195,0,0.353277078125,0.0,0.0,47.0,2295,459184
blue2,2,16.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26224,0.4996951219512195,0,0.07161870937500002,0.0,0.0,47.0,2295,459184
blue2,2,16.0,ofdm_fec,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26113,0.49758003048780486,0,0.036844146875,0.0,0.0,47.0,2295,459184
blue2,2,16.0,pfft,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26429,0.5036013719512196,0,0.036112003125,0.0,0.0,47.0,2295,459184
blue2,2,16.0,profiled_cz,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26224,0.4996951219512195,0,0.43292269375000003,0.0,0.0,47.0,2295,459184
blue2,2,18.0,cwz_joint,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26024,0.49588414634146344,0,0.3478686156250001,0.0,0.0,47.0,2295,459184
blue2,2,18.0,lite,4,32,configuration,awgn,4096,64,0.25,10,10,14,0,4,16,1640,0,0.0,52480,26024,0.49588414634146344,0,0.06886832812499999,0.0,0.0,47.0,2295,459184
