workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,frame_samples,payload_bits,payload_seed,noise_seed,replay_seed,optimizer_seed,bit_errors,success,decode_failure,partial_fft_parts,partial_fft_bands
red3:lane1:snr0.0:seed4:frame1,0.0,1,direct_cz,awgn,0.0,47.0,1,0.0,0.9688541666666667,0.9266666666666666,8896,1452,4,4,4,4,612,false,false,4,16
red3:lane1:snr0.0:seed4:frame2,0.0,2,direct_cz,awgn,0.0,47.0,144,1.4895833333333333,2.4584375,0.9266666666666666,8896,1452,5,5,5,4,645,false,false,4,16
red3:lane1:snr0.0:seed4:frame3,0.0,3,direct_cz,awgn,0.0,47.0,286,2.96875,3.9376041666666666,0.9266666666666666,8896,1452,6,6,6,4,615,false,false,4,16
red3:lane1:snr0.0:seed4:frame4,0.0,4,direct_cz,awgn,0.0,47.0,429,4.458333333333333,5.4271875,0.9266666666666666,8896,1452,7,7,7,4,604,false,false,4,16
red3:lane1:snr0.0:seed4:frame5,0.0,5,direct_cz,awgn,0.0,47.0,571,5.9375,6.906354166666667,0.9266666666666666,8896,1452,8,8,8,4,629,false,false,4,16
red3:lane1:snr0.0:seed4:frame6,0.0,6,direct_cz,awgn,0.0,47.0,714,7.427083333333333,8.3959375,0.9266666666666666,8896,1452,9,9,9,4,620,false,false,4,16
red3:lane1:snr0.0:seed4:frame7,0.0,7,direct_cz,awgn,0.0,47.0,856,8.90625,9.875104166666667,0.9266666666666666,8896,1452,10,10,10,4,601,false,false,4,16
red3:lane1:snr0.0:seed4:frame8,0.0,8,direct_cz,awgn,0.0,47.0,999,10.395833333333334,11.3646875,0.9266666666666666,8896,1452,11,11,11,4,614,false,false,4,16
red3:lane1:snr0.0:seed4:frame9,0.0,9,direct_cz,awgn,0.0,47.0,1141,11.875,12.843854166666667,0.9266666666666666,8896,1452,12,12,12,4,650,false,false,4,16
red3:lane1:snr0.0:seed4:frame10,0.0,10,direct_cz,awgn,0.0,47.0,1284,13.364583333333334,14.3334375,0.9266666666666666,8896,1452,13,13,13,4,634,false,false,4,16
red3:lane1:snr0.0:seed4:frame11,0.0,11,direct_cz,awgn,0.0,47.0,1426,14.84375,15.812604166666667,0.9266666666666666,8896,1452,14,14,14,4,640,false,false,4,16
red3:lane1:snr0.0:seed4:frame12,0.0,12,direct_cz,awgn,0.0,47.0,1569,16.333333333333332,17.3021875,0.9266666666666666,8896,1452,15,15,15,4,590,false,false,4,16
red3:lane1:snr0.0:seed4:frame13,0.0,13,direct_cz,awgn,0.0,47.0,1711,17.8125,18.781354166666667,0.9266666666666666,8896,1452,16,16,16,4,632,false,false,4,16
red3:lane1:snr0.0:seed4:frame14,0.0,14,direct_cz,awgn,0.0,47.0,1854,19.302083333333332,20.2709375,0.9266666666666666,8896,1452,17,17,17,4,623,false,false,4,16
red3:lane1:snr0.0:seed4:frame15,0.0,15,direct_cz,awgn,0.0,47.0,1996,20.78125,21.750104166666667,0.9266666666666666,8896,1452,18,18,18,4,639,false,false,4,16
red3:lane1:snr0.0:seed4:frame16,0.0,16,direct_cz,awgn,0.0,47.0,2139,22.270833333333332,23.2396875,0.9266666666666666,8896,1452,19,19,19,4,644,false,false,4,16
red3:lane1:snr0.0:seed4:frame17,0.0,17,direct_cz,awgn,0.0,47.0,2281,23.75,24.718854166666667,0.9266666666666666,8896,1452,20,20,20,4,606,false,false,4,16
red3:lane1:snr0.0:seed4:frame18,0.0,18,direct_cz,awgn,0.0,47.0,2424,25.239583333333332,26.2084375,0.9266666666666666,8896,1452,21,21,21,4,624,false,false,4,16
red3:lane1:snr0.0:seed4:frame19,0.0,19,direct_cz,awgn,0.0,47.0,2566,26.71875,27.687604166666667,0.9266666666666666,8896,1452,22,22,22,4,646,false,false,4,16
red3:lane1:snr0.0:seed4:frame20,0.0,20,direct_cz,awgn,0.0,47.0,2709,28.208333333333332,29.1771875,0.9266666666666666,8896,1452,23,23,23,4,633,false,false,4,16
red3:lane1:snr0.0:seed4:frame21,0.0,21,direct_cz,awgn,0.0,47.0,2851,29.6875,30.656354166666667,0.9266666666666666,8896,1452,24,24,24,4,643,false,false,4,16
red3:lane1:snr0.0:seed4:frame22,0.0,22,direct_cz,awgn,0.0,47.0,2994,31.177083333333332,32.1459375,0.9266666666666666,8896,1452,25,25,25,4,629,false,false,4,16
