channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red4,1,0.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,0,0.0,41248,17132,0.4153413498836307,0,0.40772739062499996,0.0,0.0,47.0,4513,902600
red4,1,2.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,0,0.0,41248,15718,0.3810608999224205,0,0.3983990406249999,0.0,0.0,47.0,4513,902600
red4,1,4.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,0,0.0,41248,13337,0.3233368890612878,0,0.41144410625,0.0,0.0,47.0,4513,902600
red4,1,6.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,7,0.21875,41248,3544,0.08591931730023274,0,0.38288823125000004,325.3485576923077,0.0,47.0,4513,902600
red4,1,8.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,21,0.65625,41248,29,0.0007030643910007758,0,0.3382112593750001,976.0456730769231,0.0,47.0,4513,902600
red4,1,10.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,30,0.9375,41248,2,4.848719937936385e-5,0,0.3193694468750001,1394.3509615384614,0.0,47.0,4513,902600
red4,1,12.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.305779121875,1487.3076923076922,0.0,47.0,4513,902600
red4,1,14.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.35462382187500013,1487.3076923076922,0.0,47.0,4513,902600
red4,1,16.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.312303446875,1487.3076923076922,0.0,47.0,4513,902600
red4,1,18.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.318921621875,1487.3076923076922,0.0,47.0,4513,902600
red4,1,20.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.36035200000000006,1487.3076923076922,0.0,47.0,4513,902600
red4,1,22.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.319544346875,1487.3076923076922,0.0,47.0,4513,902600
red4,1,24.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.296510565625,1487.3076923076922,0.0,47.0,4513,902600
red4,1,26.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.29179360000000004,1487.3076923076922,0.0,47.0,4513,902600
red4,1,28.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.28545111249999994,1487.3076923076922,0.0,47.0,4513,902600
red4,1,30.0,direct_cz,4,32,configuration,awgn,2048,64,0.25,5,5,14,0,4,16,1289,32,1.0,41248,0,0.0,0,0.22869761875,1487.3076923076922,0.0,47.0,4513,902600
