dataset,channel,hydrophone,configuration,nfft,cp,code_rate,outer_spacing,inner_spacing,partial_fft_bands,snr_db,frame,receiver_id,receiver_label,bandwidth_hz,useful_symbol_seconds,cp_seconds,subcarrier_spacing_hz,frame_duration_seconds,frame_samples,payload_bits,bit_errors,ber,success,configured_rate_bit_per_s_hz,decode_failure,decode_seconds,selection_reason,public_constructor,concrete_receiver_type,descriptor_profile,decode_adapter,objective_identity,trace_accessor,receiver_source_path,receiver_source_sha256,standard_crc_valid,rescue_executed,rescue_crc_valid,gradient_checkpoints,accepted_steps,rejected_steps,snapshot_index,payload_seed,noise_seed,replay_seed,optimizer_seed,workload_digest,payload_digest,code_digest,transmitted_digest,received_digest,noise_digest,replay_digest
red,red1,1,n512-cp64-p6-8,512,64,0.25,6,8,6,20.0,1,ofdm_fec,OFDM+LDPC,9600.0,0.05333333333333334,0.006666666666666667,18.75,0.9666666666666667,9280,1653,0,0.0,true,0.1721875,false,34.322370236,,benchmark-native,JunaCore.Juna.Modulation,standard,benchmark-native,,,,,,,,,,,1,4,4,4,4,ba00e5e2bcf67e807d8a04ea028dee3b42aa85b2bc7a5510d75391264e6701d1,b2fa3361357623668d4cf029c5501a01ac0a5b963647d698de9c6bd3e9fb763c,007870cb8d7a4b9381a3e74db5e5619808d7dbc882d73f44ab4e35d649bde850,0947b87b0f18f50276f3435b0d19e6110234fda883e7935c8381ec2689da9272,4275c6d72879efa2ee50b6aeea7b9829657669b396b1a205bd73042fe3354f85,f70ee0efbfb3cccc49041878956461e3d979bb0dc7c11f9adebb76e2f49d161e,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n512-cp64-p6-8,512,64,0.25,6,8,6,20.0,1,pfft,Partial-FFT+LDPC,9600.0,0.05333333333333334,0.006666666666666667,18.75,0.9666666666666667,9280,1653,526,0.31820931639443434,false,0.0,false,0.05913508,,benchmark-native,JunaCore.Juna.Modulation,pfft,benchmark-native,,,,,,,,,,,1,4,4,4,4,ba00e5e2bcf67e807d8a04ea028dee3b42aa85b2bc7a5510d75391264e6701d1,b2fa3361357623668d4cf029c5501a01ac0a5b963647d698de9c6bd3e9fb763c,007870cb8d7a4b9381a3e74db5e5619808d7dbc882d73f44ab4e35d649bde850,0947b87b0f18f50276f3435b0d19e6110234fda883e7935c8381ec2689da9272,4275c6d72879efa2ee50b6aeea7b9829657669b396b1a205bd73042fe3354f85,f70ee0efbfb3cccc49041878956461e3d979bb0dc7c11f9adebb76e2f49d161e,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n512-cp64-p6-8,512,64,0.25,6,8,6,20.0,1,lite,JUNA-Iterative,9600.0,0.05333333333333334,0.006666666666666667,18.75,0.9666666666666667,9280,1653,412,0.24924379915305506,false,0.0,false,0.910383595,,benchmark-native,JunaCore.Juna.Modulation,lite,benchmark-native,,,,,,,,,,,1,4,4,4,4,ba00e5e2bcf67e807d8a04ea028dee3b42aa85b2bc7a5510d75391264e6701d1,b2fa3361357623668d4cf029c5501a01ac0a5b963647d698de9c6bd3e9fb763c,007870cb8d7a4b9381a3e74db5e5619808d7dbc882d73f44ab4e35d649bde850,0947b87b0f18f50276f3435b0d19e6110234fda883e7935c8381ec2689da9272,4275c6d72879efa2ee50b6aeea7b9829657669b396b1a205bd73042fe3354f85,f70ee0efbfb3cccc49041878956461e3d979bb0dc7c11f9adebb76e2f49d161e,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n512-cp64-p6-8,512,64,0.25,6,8,6,20.0,1,profiled_cz,"profiled JUNA-(C,z)",9600.0,0.05333333333333334,0.006666666666666667,18.75,0.9666666666666667,9280,1653,412,0.24924379915305506,false,0.0,false,0.484528719,crc_fallback,benchmark-native,JunaCore.Juna.Modulation,profiled_cz,benchmark-native,,,,,,,,,,,1,4,4,4,4,ba00e5e2bcf67e807d8a04ea028dee3b42aa85b2bc7a5510d75391264e6701d1,b2fa3361357623668d4cf029c5501a01ac0a5b963647d698de9c6bd3e9fb763c,007870cb8d7a4b9381a3e74db5e5619808d7dbc882d73f44ab4e35d649bde850,0947b87b0f18f50276f3435b0d19e6110234fda883e7935c8381ec2689da9272,4275c6d72879efa2ee50b6aeea7b9829657669b396b1a205bd73042fe3354f85,f70ee0efbfb3cccc49041878956461e3d979bb0dc7c11f9adebb76e2f49d161e,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n512-cp64-p6-8,512,64,0.25,6,8,6,20.0,1,direct_cz,"JUNA-Direct-(C,z)",9600.0,0.05333333333333334,0.006666666666666667,18.75,0.9666666666666667,9280,1653,0,0.0,true,0.1721875,false,0.105551989,standard_crc_valid,JunaCore.JunaDirectCzFrame.Modulation,JunaCore.Juna.DirectCzFrameModulation,lite,frame_decode_function,direct_cz_frame,JunaCore.Juna._direct_cz_last_trace,/home/gabiel/Documents/GitHub/Juna-worktrees/codex-direct-cz-ci/JunaCore/src/juna/direct_cz_frame.jl,6004c01aac1d98c685f204ac4b065e91af0d6307940dab9444a0b8014d8e7342,true,false,false,0,0,0,1,4,4,4,4,ba00e5e2bcf67e807d8a04ea028dee3b42aa85b2bc7a5510d75391264e6701d1,b2fa3361357623668d4cf029c5501a01ac0a5b963647d698de9c6bd3e9fb763c,007870cb8d7a4b9381a3e74db5e5619808d7dbc882d73f44ab4e35d649bde850,0947b87b0f18f50276f3435b0d19e6110234fda883e7935c8381ec2689da9272,4275c6d72879efa2ee50b6aeea7b9829657669b396b1a205bd73042fe3354f85,f70ee0efbfb3cccc49041878956461e3d979bb0dc7c11f9adebb76e2f49d161e,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n1024-cp64-p6-8,1024,64,0.25,6,8,6,20.0,1,ofdm_fec,OFDM+LDPC,9600.0,0.10666666666666667,0.006666666666666667,9.375,0.9933333333333333,9536,1839,901,0.48994018488308866,false,0.0,false,0.068388194,,benchmark-native,JunaCore.Juna.Modulation,standard,benchmark-native,,,,,,,,,,,1,4,4,4,4,44582f8618ead08d83176a8749368bc085b8c0037f7814b20a83230446497f0b,0d4d3c754bbeb603bb9b6cd112050da4fcadd2f3f3ec156869f61f7aa62a5474,7cd278955aec24cee6be4d952d42a8829673d9cc8bb06cb41ae8d4e4c2f54e9b,591f94b034a1d6ade27dc034fd010ddd10e6c65e658c28b4e009be1dbf6efda5,176ab9c2b49d937feaaae2bbd3c53d01dd5e9d50300cd2db12e6a5295a33863b,6e764ff2b7ab58e85dc7da78e8df0f568a22f10928f2ff469c5cb9c9d71dce77,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n1024-cp64-p6-8,1024,64,0.25,6,8,6,20.0,1,pfft,Partial-FFT+LDPC,9600.0,0.10666666666666667,0.006666666666666667,9.375,0.9933333333333333,9536,1839,630,0.3425774877650897,false,0.0,false,0.204830456,,benchmark-native,JunaCore.Juna.Modulation,pfft,benchmark-native,,,,,,,,,,,1,4,4,4,4,44582f8618ead08d83176a8749368bc085b8c0037f7814b20a83230446497f0b,0d4d3c754bbeb603bb9b6cd112050da4fcadd2f3f3ec156869f61f7aa62a5474,7cd278955aec24cee6be4d952d42a8829673d9cc8bb06cb41ae8d4e4c2f54e9b,591f94b034a1d6ade27dc034fd010ddd10e6c65e658c28b4e009be1dbf6efda5,176ab9c2b49d937feaaae2bbd3c53d01dd5e9d50300cd2db12e6a5295a33863b,6e764ff2b7ab58e85dc7da78e8df0f568a22f10928f2ff469c5cb9c9d71dce77,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n1024-cp64-p6-8,1024,64,0.25,6,8,6,20.0,1,lite,JUNA-Iterative,9600.0,0.10666666666666667,0.006666666666666667,9.375,0.9933333333333333,9536,1839,630,0.3425774877650897,false,0.0,false,0.676277604,,benchmark-native,JunaCore.Juna.Modulation,lite,benchmark-native,,,,,,,,,,,1,4,4,4,4,44582f8618ead08d83176a8749368bc085b8c0037f7814b20a83230446497f0b,0d4d3c754bbeb603bb9b6cd112050da4fcadd2f3f3ec156869f61f7aa62a5474,7cd278955aec24cee6be4d952d42a8829673d9cc8bb06cb41ae8d4e4c2f54e9b,591f94b034a1d6ade27dc034fd010ddd10e6c65e658c28b4e009be1dbf6efda5,176ab9c2b49d937feaaae2bbd3c53d01dd5e9d50300cd2db12e6a5295a33863b,6e764ff2b7ab58e85dc7da78e8df0f568a22f10928f2ff469c5cb9c9d71dce77,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n1024-cp64-p6-8,1024,64,0.25,6,8,6,20.0,1,profiled_cz,"profiled JUNA-(C,z)",9600.0,0.10666666666666667,0.006666666666666667,9.375,0.9933333333333333,9536,1839,630,0.3425774877650897,false,0.0,false,0.349735703,crc_fallback,benchmark-native,JunaCore.Juna.Modulation,profiled_cz,benchmark-native,,,,,,,,,,,1,4,4,4,4,44582f8618ead08d83176a8749368bc085b8c0037f7814b20a83230446497f0b,0d4d3c754bbeb603bb9b6cd112050da4fcadd2f3f3ec156869f61f7aa62a5474,7cd278955aec24cee6be4d952d42a8829673d9cc8bb06cb41ae8d4e4c2f54e9b,591f94b034a1d6ade27dc034fd010ddd10e6c65e658c28b4e009be1dbf6efda5,176ab9c2b49d937feaaae2bbd3c53d01dd5e9d50300cd2db12e6a5295a33863b,6e764ff2b7ab58e85dc7da78e8df0f568a22f10928f2ff469c5cb9c9d71dce77,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
red,red1,1,n1024-cp64-p6-8,1024,64,0.25,6,8,6,20.0,1,direct_cz,"JUNA-Direct-(C,z)",9600.0,0.10666666666666667,0.006666666666666667,9.375,0.9933333333333333,9536,1839,901,0.48994018488308866,false,0.0,false,0.601377157,standard_fallback,JunaCore.JunaDirectCzFrame.Modulation,JunaCore.Juna.DirectCzFrameModulation,lite,frame_decode_function,direct_cz_frame,JunaCore.Juna._direct_cz_last_trace,/home/gabiel/Documents/GitHub/Juna-worktrees/codex-direct-cz-ci/JunaCore/src/juna/direct_cz_frame.jl,6004c01aac1d98c685f204ac4b065e91af0d6307940dab9444a0b8014d8e7342,false,true,false,8,8,0,1,4,4,4,4,44582f8618ead08d83176a8749368bc085b8c0037f7814b20a83230446497f0b,0d4d3c754bbeb603bb9b6cd112050da4fcadd2f3f3ec156869f61f7aa62a5474,7cd278955aec24cee6be4d952d42a8829673d9cc8bb06cb41ae8d4e4c2f54e9b,591f94b034a1d6ade27dc034fd010ddd10e6c65e658c28b4e009be1dbf6efda5,176ab9c2b49d937feaaae2bbd3c53d01dd5e9d50300cd2db12e6a5295a33863b,6e764ff2b7ab58e85dc7da78e8df0f568a22f10928f2ff469c5cb9c9d71dce77,6136e9f5b17921d418a51bc80ca0844a1454c96dd7d1b2dacc6230742ad11cde
